benchmark,machine,rid,actual_runtime,predicted_runtime,prediction_error,cluster_weight,average_runtime
bt_A,saphir,669,31694566414.0,-1,-1,32,18785997.2
bt_A,saphir,21,31694566414.0,-1,-1,30,24677962.2
bt_A,saphir,671,31694566414.0,-1,-1,29,14393856.0
bt_A,saphir,453,31694566414.0,-1,-1,344,12828384.6
bt_A,saphir,1941,31694566414.0,-1,-1,54,13381272.6
bt_A,saphir,1484,31694566414.0,-1,-1,363,14656871.6
bt_A,saphir,656,31694566414.0,-1,-1,52,14560007.8
bt_A,saphir,167,31694566414.0,-1,-1,356,14339951.8
bt_A,saphir,9,31694566414.0,-1,-1,34,15788655.0
bt_A,saphir,748,31694566414.0,-1,-1,32,16838934.4
bt_A,saphir,1428,31694566414.0,-1,-1,30,19245741.0
bt_A,saphir,793,31694566414.0,-1,-1,48,13901120.4
bt_A,saphir,121,31694566414.0,-1,-1,30,24453866.0
bt_A,saphir,1537,31694566414.0,-1,-1,37,18422686.0
bt_A,saphir,859,31694566414.0,-1,-1,31,18587861.6
bt_A,saphir,1529,31694566414.0,-1,-1,28,23646282.6
bt_A,saphir,294,31694566414.0,-1,-1,47,14414928.0
bt_A,saphir,1644,31694566414.0,-1,-1,48,14757103.8
bt_A,saphir,320,31694566414.0,-1,-1,32,19009589.0
bt_A,saphir,980,31694566414.0,-1,-1,32,22557491.0
bt_A,saphir,339,31694566414.0,-1,-1,35,20532852.6
bt_A,saphir,1069,31694566414.0,-1,-1,27,21075836.2
bt_A,saphir,1070,31694566414.0,-1,-1,27,19835372.6
bt_A,saphir,1108,31694566414.0,-1,-1,33,19418613.2
bt_A,saphir,1804,31694566414.0,-1,-1,49,14666152.0
bt_A,saphir,500,31694566414.0,-1,-1,26,22484467.6
bt_A,saphir,501,31694566414.0,-1,-1,26,17804630.0
bt_A,saphir,569,31694566414.0,-1,-1,33,19293597.2
bt_A,saphir,1249,31694566414.0,-1,-1,27,23866171.0
bt_A,saphir,1899,31694566414.0,-1,-1,25,15857159.2
bt_A,saphir,-1,31694566414.0,31674632587.6,-0.06289351347995231,-1,-1.0
bt_A,summer,669,12860468336.8,-1,-1,32,6955514.6
bt_A,summer,21,12860468336.8,-1,-1,30,6616966.8
bt_A,summer,671,12860468336.8,-1,-1,29,6778528.0
bt_A,summer,453,12860468336.8,-1,-1,344,6415051.8
bt_A,summer,1941,12860468336.8,-1,-1,54,6377576.8
bt_A,summer,1484,12860468336.8,-1,-1,363,6305848.4
bt_A,summer,656,12860468336.8,-1,-1,52,6414148.2
bt_A,summer,167,12860468336.8,-1,-1,356,6341072.2
bt_A,summer,9,12860468336.8,-1,-1,34,6129447.8
bt_A,summer,748,12860468336.8,-1,-1,32,6843569.4
