machine,input_size,benchmark,rid,run_id,runtime(ns)
summer,A,ep_A,21,0,35048927
summer,A,ep_A,21,3,34618418
summer,A,ep_A,21,4,34557641
summer,A,ep_A,21,1,34133286
summer,A,ep_A,21,2,34803133
summer,A,ep_A,10,3,35115427
summer,A,ep_A,10,4,35097182
summer,A,ep_A,10,0,35037983
summer,A,ep_A,10,2,35122101
summer,A,ep_A,10,1,34611382
summer,A,ep_A,18,2,34278431
summer,A,ep_A,18,1,34267585
summer,A,ep_A,18,3,34065304
summer,A,ep_A,18,4,34129281
summer,A,ep_A,18,0,34378061
summer,A,ep_A,24,2,34991032
summer,A,ep_A,24,1,35094575
summer,A,ep_A,24,3,34637832
summer,A,ep_A,24,4,35199780
summer,A,ep_A,24,0,34272046
summer,A,sp_A,1368,4,6771467
summer,A,sp_A,1368,3,6843897
summer,A,sp_A,1368,0,6791184
summer,A,sp_A,1368,2,6746001
summer,A,sp_A,1368,1,6678385
summer,A,sp_A,954,1,7338219
summer,A,sp_A,954,2,7280046
summer,A,sp_A,954,0,7303538
summer,A,sp_A,954,4,7364587
summer,A,sp_A,954,3,7317742
summer,A,sp_A,149,3,7502130
summer,A,sp_A,149,4,7606387
summer,A,sp_A,149,0,7533171
summer,A,sp_A,149,2,7546979
summer,A,sp_A,149,1,7504536
summer,A,sp_A,302,2,7828025
summer,A,sp_A,302,1,7908986
summer,A,sp_A,302,4,7805295
summer,A,sp_A,302,3,7824394
summer,A,sp_A,302,0,8681063
summer,A,sp_A,44,1,7631617
summer,A,sp_A,44,2,7668118
summer,A,sp_A,44,0,7671054
summer,A,sp_A,44,4,7667774
summer,A,sp_A,44,3,7672802
summer,A,sp_A,1604,3,7647883
summer,A,sp_A,1604,4,7685175
summer,A,sp_A,1604,0,7648314
summer,A,sp_A,1604,2,7663380
summer,A,sp_A,1604,1,7619135
summer,A,sp_A,425,1,7557137
summer,A,sp_A,425,2,7612866
summer,A,sp_A,425,0,7589510
summer,A,sp_A,425,4,7614984
summer,A,sp_A,425,3,7584080
summer,A,sp_A,522,1,7686163
summer,A,sp_A,522,2,7591279
summer,A,sp_A,522,0,7664064
summer,A,sp_A,522,4,7693504
summer,A,sp_A,522,3,7700981
summer,A,sp_A,1385,0,8046709
summer,A,sp_A,1385,3,7932109
summer,A,sp_A,1385,4,8128596
summer,A,sp_A,1385,1,8130208
summer,A,sp_A,1385,2,8093802
summer,A,sp_A,1522,0,7722034
summer,A,sp_A,1522,4,7708654
summer,A,sp_A,1522,3,7755115
summer,A,sp_A,1522,1,7793193
summer,A,sp_A,1522,2,7771914
summer,A,sp_A,1735,1,7901583
summer,A,sp_A,1735,2,8066156
summer,A,sp_A,1735,0,8027553
summer,A,sp_A,1735,3,7978998
summer,A,sp_A,1735,4,8125107
summer,A,sp_A,1372,0,7007206
summer,A,sp_A,1372,4,7007915
summer,A,sp_A,1372,3,6954349
summer,A,sp_A,1372,1,7065267
