machine,input_size,benchmark,rid,run_id,runtime(ns),total_inst,total_branch_inst,total_cycles,total_branch_mistpred
saphir,A,sp_A,-1,0,37863435784,156601397590,1813577047,106009585790,2404115
saphir,A,sp_A,-1,4,37671491086,155792479677,1584656545,105472912429,2356703
saphir,A,sp_A,-1,3,37889160449,155766713291,1578209913,106065621610,2340778
saphir,A,sp_A,-1,1,37910658931,155762689591,1576309633,106141357881,2358791
saphir,A,sp_A,-1,2,36413087486,156577791898,1806356056,101948223301,2408063
saphir,A,ep_A,-1,0,1453051083,5579440259,622890941,4067604573,18498047
saphir,A,ep_A,-1,3,1455600123,5597877321,628080058,4074890084,18501741
saphir,A,ep_A,-1,4,1454074521,5599409860,628509044,4071181500,18495725
saphir,A,ep_A,-1,1,1454567483,5581448740,623470884,4072523155,18501713
saphir,A,ep_A,-1,2,1460164522,5580105020,623127598,4088378165,18494953
saphir,A,lu_A,-1,4,26842677619,140685904683,2503165616,75141398361,2988690
saphir,A,lu_A,-1,3,27024273002,140731419555,2516740441,75661682347,2962505
saphir,A,lu_A,-1,0,26869443574,140948054721,2576777553,75217348133,2984342
saphir,A,lu_A,-1,2,26811505553,140731512170,2515208811,75061810928,2979203
saphir,A,lu_A,-1,1,26565708872,140887787603,2560011888,74375218709,2973090
saphir,A,cg_A,-1,0,274600309,2324427330,196347111,768842524,1427874
saphir,A,cg_A,-1,3,280499787,2332669676,198706731,785292524,1429431
saphir,A,cg_A,-1,4,299039822,2328002373,197340693,837288346,1429089
saphir,A,cg_A,-1,1,276895349,2324464438,196280148,775174898,1428702
saphir,A,cg_A,-1,2,277498389,2323673023,196086203,776951207,1427822
saphir,A,is_A,-1,2,701817770,2253030003,280141298,1964845276,60686
saphir,A,is_A,-1,1,699524731,2101291281,229658975,1958434354,47160
saphir,A,is_A,-1,4,697598851,2125595057,232292171,1953194154,47849
saphir,A,is_A,-1,3,756700552,2673495371,383256453,2118525054,86271
saphir,A,is_A,-1,0,732760439,2068990579,208343869,2051659858,39433
saphir,A,ft_A,-1,0,791071140,4760297677,360493619,2214910001,368966
saphir,A,ft_A,-1,3,840965644,4801139710,370498115,2349414629,397913
saphir,A,ft_A,-1,4,786570262,4747042043,356839628,2201891750,361615
saphir,A,ft_A,-1,1,799505976,4764850221,361318036,2238390507,370188
saphir,A,ft_A,-1,2,789028661,4776136223,365036415,2209135625,355940
saphir,A,mg_A,-1,2,296283983,1913681374,89602682,829590199,7204
saphir,A,mg_A,-1,1,293533384,1942041550,97598591,821815564,10208
saphir,A,mg_A,-1,3,314845977,1909052644,88278320,881565040,7873
saphir,A,mg_A,-1,4,299488861,1932491449,94903319,838556541,8887
saphir,A,mg_A,-1,0,304129460,1909140708,88316111,851500324,7473
saphir,A,bt_A,-1,4,31662064276,150372166365,1146455228,88646804662,3684459
saphir,A,bt_A,-1,3,31850651653,150377894375,1149653930,89174687587,3093899
saphir,A,bt_A,-1,0,31734658412,150550701652,1196346044,88846125848,3565011
saphir,A,bt_A,-1,2,31741906487,151014137757,1327059403,88866774325,3124109
saphir,A,bt_A,-1,1,31483551242,150521480437,1187551352,88146851593,3178615
summer,A,lu_A,-1,1,11554036132,120500064957,1357488509,47548760846,9012242
summer,A,lu_A,-1,2,11430821823,120601886634,1390119483,47290490935,9209961
summer,A,lu_A,-1,0,11331447990,120579589246,1382882462,46874685371,9208927
summer,A,lu_A,-1,3,11489373640,120773901926,1443423474,47472290428,9864763
summer,A,lu_A,-1,4,11441204027,120414814794,1331991707,47185736319,8550026
summer,A,cg_A,-1,3,252294580,2523851893,198985986,1038601112,1485543
summer,A,cg_A,-1,4,243553050,2502783527,192236409,1008353141,1460162
summer,A,cg_A,-1,0,255382050,2523067944,198677670,1053344624,1502653
summer,A,cg_A,-1,2,246479330,2504298007,192735442,1018207851,1458265
summer,A,cg_A,-1,1,257808376,2516411405,196602146,1060937404,1478100
summer,A,ep_A,-1,2,1369041881,6186915916,744804839,5692413886,18617858
summer,A,ep_A,-1,1,1376259737,6186825777,744776440,5692898374,18593372
summer,A,ep_A,-1,4,1376040454,6187770661,745074455,5689095874,18623026
summer,A,ep_A,-1,3,1376287508,6187174436,744881412,5693340896,18612723
summer,A,ep_A,-1,0,1376815053,6186841069,744785649,5692088938,18614954
summer,A,sp_A,-1,4,13828171432,159368438497,1603816366,56974305318,6368394
summer,A,sp_A,-1,3,13819318786,159502510925,1646072197,57007360028,6677989
summer,A,sp_A,-1,0,13743903271,159170090305,1542343253,56752867418,5632856
summer,A,sp_A,-1,2,13637217667,159298054670,1582426825,56431889077,6011076
summer,A,sp_A,-1,1,13773884237,159169044161,1541737216,56910430669,5700897
summer,A,bt_A,-1,4,12884179276,142892131847,1033310004,53340592359,4684593
summer,A,bt_A,-1,3,12849949978,142832973129,1015004104,53230328617,4439915
summer,A,bt_A,-1,0,12772086447,142833003456,1014990949,52933822870,4441278
summer,A,bt_A,-1,2,12825857343,142830057534,1014146699,53061785658,4431180
summer,A,bt_A,-1,1,12970268640,142943982581,1049519213,53409241583,4844573
summer,A,mg_A,-1,0,298360777,1442671188,88693430,1234052017,605182
summer,A,mg_A,-1,4,281938229,1442984530,88817016,1167222249,601599
summer,A,mg_A,-1,3,280048691,1441199702,88248715,1158390262,597725
