benchmark,machine,rid,actual_runtime,predicted_runtime,prediction_error,cluster_weight,average_runtime
cg_A,saphir,10,1149985392.2,-1,-1,135,7742157.0
cg_A,saphir,79,1149985392.2,-1,-1,15,7336792.6
cg_A,saphir,150,1149985392.2,-1,-1,1,1062669.2
cg_A,saphir,-1,1149985392.2,1156305753.2,0.5496035899994104,-1,-1.0
ep_A,saphir,25,5854045810.0,-1,-1,81,37482367.6
ep_A,saphir,21,5854045810.0,-1,-1,21,35754264.6
ep_A,saphir,28,5854045810.0,-1,-1,40,35841850.6
ep_A,saphir,87,5854045810.0,-1,-1,16,35637113.4
ep_A,saphir,158,5854045810.0,-1,-1,1,21534285.6
ep_A,saphir,-1,5854045810.0,5812313456.2,-0.7128805471373684,-1,-1.0
ft_A,saphir,0,3049278841.2,-1,-1,1,85584573.8
ft_A,saphir,1,3049278841.2,-1,-1,1,19611470.2
ft_A,saphir,2,3049278841.2,-1,-1,1,16868174.8
ft_A,saphir,128,3049278841.2,-1,-1,75,11337077.2
ft_A,saphir,53,3049278841.2,-1,-1,70,12535616.8
ft_A,saphir,207,3049278841.2,-1,-1,4,12899495.2
ft_A,saphir,166,3049278841.2,-1,-1,63,12666347.6
ft_A,saphir,99,3049278841.2,-1,-1,3,26024853.2
ft_A,saphir,100,3049278841.2,-1,-1,3,15006074.2
ft_A,saphir,120,3049278841.2,-1,-1,3,12154246.8
ft_A,saphir,131,3049278841.2,-1,-1,3,16339400.8
ft_A,saphir,132,3049278841.2,-1,-1,3,24031686.2
ft_A,saphir,-1,3049278841.2,2980084847.9999995,-2.269192055022754,-1,-1.0
is_A,saphir,0,2836868173.8,-1,-1,14,38243952.2
is_A,saphir,16,2836868173.8,-1,-1,5,47490767.2
is_A,saphir,3,2836868173.8,-1,-1,20,42809013.0
is_A,saphir,12,2836868173.8,-1,-1,16,15155486.8
is_A,saphir,49,2836868173.8,-1,-1,6,32626893.4
is_A,saphir,51,2836868173.8,-1,-1,5,44366813.2
is_A,saphir,54,2836868173.8,-1,-1,5,30815395.4
is_A,saphir,-1,2836868173.8,2443209619.0,-13.87651912893409,-1,-1.0
lu_A,saphir,5248,100094660863.8,-1,-1,85,15697238.6
lu_A,saphir,4926,100094660863.8,-1,-1,1901,13208855.2
lu_A,saphir,3177,100094660863.8,-1,-1,85,13147628.0
lu_A,saphir,4496,100094660863.8,-1,-1,1859,13039084.2
lu_A,saphir,1309,100094660863.8,-1,-1,74,15231102.8
lu_A,saphir,4403,100094660863.8,-1,-1,73,21277047.0
lu_A,saphir,4632,100094660863.8,-1,-1,100,19196369.6
lu_A,saphir,1947,100094660863.8,-1,-1,602,17266954.6
lu_A,saphir,2455,100094660863.8,-1,-1,357,29358687.0
lu_A,saphir,1874,100094660863.8,-1,-1,122,19052343.8
lu_A,saphir,2534,100094660863.8,-1,-1,137,18533214.8
lu_A,saphir,4842,100094660863.8,-1,-1,78,17686932.0
lu_A,saphir,1766,100094660863.8,-1,-1,87,20527581.0
lu_A,saphir,2201,100094660863.8,-1,-1,118,23662497.2
lu_A,saphir,758,100094660863.8,-1,-1,70,22874281.6
lu_A,saphir,1494,100094660863.8,-1,-1,73,18877947.2
lu_A,saphir,3929,100094660863.8,-1,-1,87,19358217.6
lu_A,saphir,2290,100094660863.8,-1,-1,83,12966515.8
lu_A,saphir,5315,100094660863.8,-1,-1,87,17480044.4
lu_A,saphir,5164,100094660863.8,-1,-1,120,20847122.4
lu_A,saphir,683,100094660863.8,-1,-1,68,18598694.4
lu_A,saphir,5093,100094660863.8,-1,-1,73,26281312.0
lu_A,saphir,-1,100094660863.8,101043658280.40001,0.9480999370099451,-1,-1.0
mg_A,saphir,0,1131680391.4,-1,-1,47,10202894.8
mg_A,saphir,5,1131680391.4,-1,-1,1,11508199.6
mg_A,saphir,107,1131680391.4,-1,-1,5,7337898.4
mg_A,saphir,8,1131680391.4,-1,-1,1,11217852.2
mg_A,saphir,34,1131680391.4,-1,-1,8,11691613.4
mg_A,saphir,11,1131680391.4,-1,-1,3,7959072.2
mg_A,saphir,37,1131680391.4,-1,-1,2,9823622.6
mg_A,saphir,62,1131680391.4,-1,-1,4,10425447.8
mg_A,saphir,23,1131680391.4,-1,-1,21,10162364.8
mg_A,saphir,69,1131680391.4,-1,-1,4,11091065.8
mg_A,saphir,56,1131680391.4,-1,-1,2,11412208.4
mg_A,saphir,84,1131680391.4,-1,-1,3,7645060.8
mg_A,saphir,63,1131680391.4,-1,-1,3,10568024.2
mg_A,saphir,59,1131680391.4,-1,-1,2,9212164.6
mg_A,saphir,93,1131680391.4,-1,-1,2,11227957.4
mg_A,saphir,-1,1131680391.4,1093828599.4000003,-3.344742233553536,-1,-1.0
