machine,input_size,benchmark,rid,run_id,runtime(ns),total_inst,total_branch_inst,total_cycles,total_branch_mistpred
saphir,A,mg_A,8,0,11226130,66282040,3460565,31429389,666
saphir,A,mg_A,8,4,11251091,66289360,3462507,31497964,817
saphir,A,mg_A,8,3,11387880,66331023,3473139,31881789,754
saphir,A,mg_A,8,1,11076400,66275986,3461210,31013299,734
saphir,A,mg_A,8,2,11147760,66287927,3465306,31206580,642
saphir,A,mg_A,5,3,11335037,69348043,4054400,31733503,581
saphir,A,mg_A,5,4,11859039,69359184,4056964,33207089,624
saphir,A,mg_A,5,0,11805720,69358640,4057044,33049752,608
saphir,A,mg_A,5,2,11268045,69347155,4054181,31549221,547
saphir,A,mg_A,5,1,11273157,69357638,4056054,31565408,648
saphir,A,mg_A,62,1,10064860,56384683,3646540,28164194,435
saphir,A,mg_A,62,2,10416097,56407381,3652428,29102037,740
saphir,A,mg_A,62,0,9885420,56385502,3647086,27673374,430
saphir,A,mg_A,62,4,11212023,56378040,3645733,31386076,411
saphir,A,mg_A,62,3,10548839,56390313,3648695,29536938,465
saphir,A,mg_A,34,3,11626799,68900873,2033351,32556331,548
saphir,A,mg_A,34,4,11721589,68945197,2042251,32744812,983
saphir,A,mg_A,34,0,11712778,68904697,2033831,32792503,556
saphir,A,mg_A,34,2,11629851,68907355,2034277,32559207,569
saphir,A,mg_A,34,1,11767050,68908992,2036015,32933884,538
saphir,A,mg_A,11,1,7880858,69651736,3791909,22057104,669
saphir,A,mg_A,11,2,7993066,69650049,3791771,22371284,608
saphir,A,mg_A,11,0,8164062,69672685,3797609,22854556,679
saphir,A,mg_A,11,3,7919646,69649125,3791177,22165378,688
saphir,A,mg_A,11,4,7837729,69636714,3789632,21946515,557
saphir,A,mg_A,23,3,9981776,73628970,3123806,27943796,413
saphir,A,mg_A,23,4,10131001,73626403,3123045,28371433,442
saphir,A,mg_A,23,0,10147456,73625456,3122229,28403395,392
saphir,A,mg_A,23,2,10286129,73654287,3127610,28796957,473
saphir,A,mg_A,23,1,10265462,73626051,3123338,28739204,421
saphir,A,mg_A,59,4,9249919,67910112,3599417,25903172,962
saphir,A,mg_A,59,3,9239055,67889852,3596201,25862857,997
saphir,A,mg_A,59,0,9146065,67883793,3594795,25603041,1047
saphir,A,mg_A,59,2,9234719,67884093,3594981,25860987,1009
saphir,A,mg_A,59,1,9191065,67909588,3599693,25725848,1071
saphir,A,mg_A,37,0,9806960,66563007,3346090,27454887,523
saphir,A,mg_A,37,3,10064319,66573470,3347951,28171073,549
saphir,A,mg_A,37,4,9205379,66555294,3344849,25769121,423
saphir,A,mg_A,37,1,10106936,66572977,3347614,28289826,532
saphir,A,mg_A,37,2,9934519,66572045,3347482,27810167,518
saphir,A,mg_A,63,1,11137452,65171756,3378342,31180881,526
saphir,A,mg_A,63,2,10851292,65155905,3380161,30373814,473
saphir,A,mg_A,63,0,10075872,65139447,3372818,28210731,526
saphir,A,mg_A,63,3,10377853,65145703,3373977,29051192,542
saphir,A,mg_A,63,4,10397652,65159519,3378087,29097466,547
saphir,A,mg_A,69,1,11287136,72485371,3140676,31594871,600
saphir,A,mg_A,69,2,11063147,72480742,3139077,30969627,557
saphir,A,mg_A,69,0,11285362,72485570,3139772,31596819,577
saphir,A,mg_A,69,3,10916990,72480624,3139088,30561806,561
saphir,A,mg_A,69,4,10902694,72480721,3139026,30522643,568
saphir,A,mg_A,56,0,11312919,70898885,2892469,31676338,625
saphir,A,mg_A,56,3,11473291,70906536,2894306,32107964,533
saphir,A,mg_A,56,4,11389108,70896823,2892374,31889044,538
saphir,A,mg_A,56,1,11440479,70901437,2892802,32028863,543
saphir,A,mg_A,56,2,11445245,70892184,2891221,32038078,521
saphir,A,mg_A,93,1,11413643,72353563,3167142,31959056,553
saphir,A,mg_A,93,2,11167960,72347408,3165928,31266365,562
saphir,A,mg_A,93,0,11417811,72336194,3164003,32000736,580
saphir,A,mg_A,93,4,11087399,72325230,3162495,31043576,610
saphir,A,mg_A,93,3,11052974,72321920,3161795,30936936,580
saphir,A,mg_A,84,2,7552044,70187157,3202189,21146078,405
saphir,A,mg_A,84,1,7726240,70191803,3202017,21630939,440
saphir,A,mg_A,84,3,7584262,70192573,3202173,21229996,480
saphir,A,mg_A,84,4,7793319,70201454,3203582,21823465,503
saphir,A,mg_A,84,0,7569439,70202072,3204025,21196918,501
saphir,A,mg_A,107,2,7342880,41790514,4727075,20576741,391
saphir,A,mg_A,107,1,7305189,41785805,4725978,20456737,366
saphir,A,mg_A,107,4,7354760,41780110,4725381,20600748,328
saphir,A,mg_A,107,3,7341624,41803764,4731312,20513400,518
saphir,A,mg_A,107,0,7345039,41792382,4727084,20573478,438
saphir,A,mg_A,0,1,10236018,72636337,3152678,28652014,604
saphir,A,mg_A,0,2,10255415,72661302,3157959,28708783,804
saphir,A,mg_A,0,0,10140337,72657044,3156593,28381900,597
saphir,A,mg_A,0,3,10054244,72635817,3152702,28155486,637
saphir,A,mg_A,0,4,10328460,72637840,3152579,28913678,534
saphir,A,bt_A,1986,1,14453336,71101465,381967,40471548,2425
saphir,A,bt_A,1986,2,14450814,71094131,379919,40463958,1702
saphir,A,bt_A,1986,0,14501422,71100716,381886,40606499,2155
saphir,A,bt_A,1986,4,14623006,71132271,386008,40936507,2090
saphir,A,bt_A,1986,3,14419487,71103723,384307,40363230,1687
saphir,A,bt_A,5195,0,18398678,88913340,761247,51507900,2229
saphir,A,bt_A,5195,4,18316762,88907621,760432,51277323,2211
saphir,A,bt_A,5195,3,18394394,88918520,762431,51508203,2354
saphir,A,bt_A,5195,1,18540632,88913605,760777,51908445,2210
saphir,A,bt_A,5195,2,18340927,88914468,761362,51356732,2308
saphir,A,bt_A,3514,4,20961262,90364646,1652412,58682412,4629
saphir,A,bt_A,3514,3,21036280,90366325,1653905,58897610,4548
saphir,A,bt_A,3514,0,20927446,90352715,1653680,58599654,4526
saphir,A,bt_A,3514,2,21025816,90362918,1652929,58867957,4543
saphir,A,bt_A,3514,1,20904273,90343201,1649653,58524375,4555
saphir,A,bt_A,1683,0,24173052,87783736,780583,67678601,2289
saphir,A,bt_A,1683,3,24361972,87770044,776326,68210357,2238
saphir,A,bt_A,1683,4,24760168,87818923,791439,69314443,2286
saphir,A,bt_A,1683,1,24274758,87783055,779376,67969503,2282
saphir,A,bt_A,1683,2,23998762,87788791,777802,67185507,2228
saphir,A,bt_A,5359,4,26067879,86136181,773061,72982882,2157
saphir,A,bt_A,5359,3,26320527,86186036,780413,73697189,2212
saphir,A,bt_A,5359,0,25941982,86173875,781715,72631231,2245
saphir,A,bt_A,5359,2,25290037,86140100,774387,70801017,2222
saphir,A,bt_A,5359,1,26209445,86154318,778077,73387516,2205
saphir,A,bt_A,6713,2,19302059,86775544,753734,54040817,2234
saphir,A,bt_A,6713,1,18968112,86750704,749666,53112064,2311
saphir,A,bt_A,6713,3,19241547,86761584,749602,53871190,2306
saphir,A,bt_A,6713,4,19125777,86751003,750246,53547390,2178
saphir,A,bt_A,6713,0,19184199,86758468,752266,53676503,2369
saphir,A,bt_A,7667,2,16568977,77936761,1009583,46398530,3792
saphir,A,bt_A,7667,1,16637800,77926338,1007500,46582838,3539
saphir,A,bt_A,7667,4,16610093,77952152,1011212,46506551,3898
saphir,A,bt_A,7667,3,16505494,77902152,1004088,46210100,3907
saphir,A,bt_A,7667,0,16624168,77925487,1006230,46538858,3568
saphir,A,bt_A,5871,4,20995656,89172472,1197127,58786812,2894
saphir,A,bt_A,5871,3,21356104,89195450,1203877,59785416,2899
saphir,A,bt_A,5871,0,21207325,89155494,1195797,59371887,2894
saphir,A,bt_A,5871,2,21228838,89204266,1211102,59437919,2953
saphir,A,bt_A,5871,1,21223239,89172492,1201385,59419796,2870
saphir,A,bt_A,497,1,12806119,71028294,384100,35862933,1875
saphir,A,bt_A,497,2,12838640,71026099,383934,35959130,1729
saphir,A,bt_A,497,0,12824599,71019081,383195,35913775,1911
saphir,A,bt_A,497,4,12965653,71051933,388701,36301401,2050
saphir,A,bt_A,497,3,12829454,71032026,385683,35929887,2422
saphir,A,bt_A,3043,0,23073704,84745053,755537,64602495,1842
saphir,A,bt_A,3043,4,22944686,84741171,754389,64239571,1792
saphir,A,bt_A,3043,3,22759387,84754951,760405,63712538,1727
saphir,A,bt_A,3043,1,22957750,84762376,761085,64271903,1828
saphir,A,bt_A,3043,2,23907307,84787308,764172,66934980,1803
saphir,A,bt_A,7709,0,19779558,90281935,1680130,55379157,4722
saphir,A,bt_A,7709,3,19820979,90301375,1682210,55495965,4842
saphir,A,bt_A,7709,4,19744653,90292918,1680389,55292821,4657
saphir,A,bt_A,7709,1,19771315,90276673,1678608,55357706,4703
saphir,A,bt_A,7709,2,19800934,90293878,1681432,55447037,4633
saphir,A,bt_A,4941,0,14638079,71420686,385972,40988953,2081
saphir,A,bt_A,4941,4,14617347,71414579,384557,40966597,2062
saphir,A,bt_A,4941,3,14543198,71414038,384312,40718066,1734
saphir,A,bt_A,4941,1,14593800,71407266,382575,40865763,1882
saphir,A,bt_A,4941,2,14668631,71411127,383247,41068153,2285
saphir,A,bt_A,3314,0,18959233,85298931,1615815,53075789,4882
saphir,A,bt_A,3314,4,18973234,85303925,1617244,53113680,5126
saphir,A,bt_A,3314,3,18954606,85299517,1615745,53062022,4941
saphir,A,bt_A,3314,1,18980805,85304434,1618464,53141158,5085
saphir,A,bt_A,3314,2,18968518,85301812,1616555,53107328,4983
saphir,A,bt_A,6274,2,20277007,87190112,751967,56778863,2338
saphir,A,bt_A,6274,1,20288865,87194794,752923,56801167,2222
saphir,A,bt_A,6274,4,20313839,87205462,753282,56891021,2317
saphir,A,bt_A,6274,3,20380753,87191813,751975,57063041,2242
saphir,A,bt_A,6274,0,20235238,87186519,750875,56657695,2297
saphir,A,bt_A,2637,1,18586799,89710031,1227789,52049206,3475
saphir,A,bt_A,2637,2,18574549,89710024,1222687,52004999,3482
saphir,A,bt_A,2637,0,18526001,89694750,1221259,51863643,3473
saphir,A,bt_A,2637,3,18501448,89699055,1222090,51849370,3460
saphir,A,bt_A,2637,4,18528046,89707617,1224682,51872768,3534
saphir,A,bt_A,5634,1,17046064,87663839,756109,47725488,2101
saphir,A,bt_A,5634,2,17043198,87670301,757984,47713247,2223
saphir,A,bt_A,5634,0,17021958,87674748,759018,47656860,2226
saphir,A,bt_A,5634,4,17037843,87663537,756966,47698911,2171
saphir,A,bt_A,5634,3,17032119,87663769,756049,47683763,2150
saphir,A,bt_A,6715,1,22933859,88835120,775164,64209105,2249
saphir,A,bt_A,6715,2,22826024,88854017,776503,63907633,2337
saphir,A,bt_A,6715,0,22904758,88852073,775952,64131248,2334
saphir,A,bt_A,6715,4,22987398,88829948,773673,64367008,2288
saphir,A,bt_A,6715,3,22792558,88839268,776672,63819598,2388
saphir,A,bt_A,2117,1,21508238,89988717,1675461,60214336,4325
saphir,A,bt_A,2117,2,21467541,89992236,1677158,60108239,4344
saphir,A,bt_A,2117,0,21452229,89988992,1676318,60059615,4266
saphir,A,bt_A,2117,3,21623441,90036121,1682532,60539537,4340
saphir,A,bt_A,2117,4,21544923,90009427,1678859,60320782,4326
saphir,A,bt_A,1757,2,21028239,89414777,1171190,58881544,2936
saphir,A,bt_A,1757,1,21039530,89432208,1176925,58905212,2880
saphir,A,bt_A,1757,4,21149963,89453317,1180670,59223287,2867
saphir,A,bt_A,1757,3,21018600,89414362,1171159,58848490,2912
saphir,A,bt_A,1757,0,21054845,89410847,1170795,58949424,2916
saphir,A,bt_A,4913,4,20919888,90248408,1833760,58567836,5029
saphir,A,bt_A,4913,3,20847839,90237932,1834533,58375667,5085
saphir,A,bt_A,4913,0,20973108,90253095,1834827,58717137,5105
saphir,A,bt_A,4913,2,20830834,90226951,1830740,58318536,5060
