machine,input_size,benchmark,rid,run_id,runtime(ns),total_inst,total_branch_inst,total_cycles,total_branch_mistpred
saphir,A,is_A,-1,0,2952504175,7759477303,696809649,8266927170,54269
saphir,A,is_A,-1,4,2977002409,7758678160,696712773,8335549866,56056
saphir,A,is_A,-1,3,2694454020,7754725228,695906339,7544094747,52741
saphir,A,is_A,-1,1,2878477761,7756164177,696205466,8059512838,56163
saphir,A,is_A,-1,2,2681902504,7754749526,695931955,7509277136,52983
saphir,A,ft_A,-1,3,3052382946,18704506005,1347350023,8546354042,1357779
saphir,A,ft_A,-1,4,3059318304,18704147517,1347273505,8565931998,1364730
saphir,A,ft_A,-1,0,3058209700,18704140598,1347267993,8562420120,1351941
saphir,A,ft_A,-1,2,3057044984,18704783529,1347536913,8559640357,1349748
saphir,A,ft_A,-1,1,3019438272,18703550283,1347067510,8454163572,1344716
saphir,A,mg_A,-1,3,1135103519,7601885308,343787647,3178191215,11048
saphir,A,mg_A,-1,4,1131924599,7602060066,343635626,3169289151,10823
saphir,A,mg_A,-1,0,1154857032,7601725151,343713421,3233501472,11139
saphir,A,mg_A,-1,2,1144158116,7601749097,343730495,3203531210,11330
saphir,A,mg_A,-1,1,1092358691,7600684287,343435735,3058557381,9611
saphir,A,bt_A,-1,2,124588003259,599729976831,4070410927,348840486504,11027297
saphir,A,bt_A,-1,1,125491268877,599734634317,4070124017,351368205976,10494432
saphir,A,bt_A,-1,3,125515346296,599734163218,4070868355,351437682052,11047076
saphir,A,bt_A,-1,4,125507351378,599743867116,4074509361,351390029037,11036648
saphir,A,bt_A,-1,0,124879401717,599820814427,4076500094,349574535730,10974014
saphir,A,ep_A,-1,4,5851158685,22309193376,2496013160,16381802354,74002207
saphir,A,ep_A,-1,3,5851939132,22309581596,2496044986,16385185472,73993697
saphir,A,ep_A,-1,0,5853132252,22309563933,2496086163,16388498895,73995961
saphir,A,ep_A,-1,2,5852866132,22309778142,2496120562,16387798723,74002007
saphir,A,ep_A,-1,1,5861132849,22312090963,2496148695,16407061539,73983768
saphir,A,sp_A,-1,3,145077282537,621598061787,5850357512,406162530561,8733126
saphir,A,sp_A,-1,4,145223650546,621597184582,5850889187,406586864607,8782871
saphir,A,sp_A,-1,0,145169879364,621608949458,5851145620,406441476982,8736438
saphir,A,sp_A,-1,2,144953959589,621595677362,5849212704,405864246699,8708015
saphir,A,sp_A,-1,1,145595839159,621592190956,5848194772,407662638695,8734802
saphir,A,lu_A,-1,0,100184330755,529216654088,3648819980,280508258558,9602999
saphir,A,lu_A,-1,4,100193393312,529215718850,3648939424,280532143788,9567110
saphir,A,lu_A,-1,3,100040270484,529212711057,3647517703,280101187812,9574496
saphir,A,lu_A,-1,1,99601169585,529210068948,3647547099,278845110409,9557665
saphir,A,lu_A,-1,2,100454140183,529210119410,3646473132,281267653962,9564036
saphir,A,cg_A,-1,3,1138267916,9138745416,753057287,3187034937,5709481
saphir,A,cg_A,-1,4,1213507053,9139339764,753182795,3397714814,5710796
saphir,A,cg_A,-1,0,1105021926,9139249806,753243460,3093050456,5712267
saphir,A,cg_A,-1,2,1126736479,9138896549,753109498,3154773930,5710511
saphir,A,cg_A,-1,1,1166393587,9138859999,753070958,3265737310,5709623
