region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
10,8,9,305.0,2605,163.0,1,436.0,12
21,19,20,489.0,8973,430.0,849,399.0,25
134,132,133,359.0,51577,352.0,1506,332.0,771
167,165,166,332.0,63842,318.0,1497,310.0,1479
200,198,199,310.0,76070,484.0,3667,436.0,44
294,292,293,359.0,113448,322.0,1506,332.0,1137
410,408,409,310.0,157269,467.0,2029,391.0,877
453,451,452,359.0,173813,322.0,1506,170.0,1
500,498,499,310.0,192070,467.0,2950,391.0,1783
590,588,589,293.0,224233,457.0,1,391.0,2690
656,654,655,332.0,251819,326.0,1497,305.0,1102
870,868,869,478.0,88,430.0,2676,322.0,291
878,876,877,310.0,336028,318.0,1486,478.0,1
969,967,968,310.0,372315,467.0,1045,420.0,1
978,976,977,310.0,374694,322.0,1486,467.0,1146
985,983,984,332.0,377925,318.0,1499,310.0,361
990,988,989,467.0,381803,409.0,2,359.0,566
1088,1086,1087,310.0,417227,322.0,1486,467.0,2270
1100,1098,1099,467.0,425212,391.0,1213,359.0,818
1145,1143,1144,330.0,439795,326.0,1497,305.0,726
1198,1196,1197,310.0,459761,318.0,1486,470.0,3393
1210,1208,1209,469.0,468620,391.0,2322,359.0,1070
1282,1280,1281,359.0,493263,318.0,1506,337.0,398
1408,1406,1407,310.0,540961,489.0,3790,436.0,25
1427,1425,1426,310.0,547206,322.0,1485,369.0,4
1429,1427,1428,369.0,576,430.0,1765,322.0,70
1484,1482,1483,337.0,569767,322.0,1497,175.0,1
1956,1954,1955,310.0,750653,299.0,1486,293.0,3471
1969,1967,1968,436.0,12226,404.0,28,359.0,1308
