region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
514,-1,513,33.0,0,484.0,98376,469.0,879
679,-1,678,33.0,0,293.0,99788,489.0,7448
715,-1,714,33.0,0,382.0,116036,322.0,224
1201,-1,1200,33.0,0,467.0,197546,464.0,2593
2117,-1,2116,33.0,0,359.0,332503,337.0,292
2402,-1,2401,33.0,0,430.0,373182,414.0,127
3071,-1,3070,33.0,0,467.0,484378,373.0,4
3415,-1,3414,33.0,0,430.0,508177,430.0,2503
4260,-1,4259,33.0,0,467.0,664315,430.0,1265
4382,-1,4381,33.0,0,310.0,647752,299.0,582
4450,-1,4449,33.0,0,382.0,666011,382.0,13889
4722,-1,4721,33.0,0,305.0,699166,299.0,582
4789,-1,4788,33.0,0,393.0,721852,393.0,1786
4790,-1,4789,33.0,0,382.0,720366,380.0,17835
5601,-1,5600,33.0,0,310.0,844602,293.0,6505
5773,-1,5772,33.0,0,293.0,862901,489.0,2383
6406,-1,6405,33.0,0,337.0,972507,310.0,290
6857,-1,6856,33.0,0,359.0,1040524,318.0,590
6979,-1,6978,33.0,0,436.0,6581,430.0,2505
7205,-1,7204,33.0,0,359.0,1096666,322.0,590
7214,-1,7213,33.0,0,337.0,1076374,322.0,587
7307,-1,7306,33.0,0,484.0,1151483,467.0,1747
8288,-1,8287,33.0,0,305.0,1236679,318.0,582
9024,-1,9023,33.0,0,430.0,1344502,375.0,1
9698,-1,9697,33.0,0,430.0,1431162,430.0,2503
10021,-1,10020,33.0,0,489.0,1566871,484.0,2349
10494,-1,10493,33.0,0,310.0,1568536,318.0,582
10606,-1,10605,33.0,0,359.0,1611422,318.0,590
10868,-1,10867,33.0,0,293.0,1635812,489.0,7474
10900,-1,10899,33.0,0,393.0,1614264,387.0,2563
12404,-1,12403,33.0,0,467.0,1874443,461.0,2593
12687,-1,12686,33.0,0,337.0,1918405,318.0,587
13712,-1,13711,33.0,0,310.0,2049973,318.0,582
13961,-1,13960,33.0,0,382.0,2118709,359.0,402
13980,-1,13979,33.0,0,359.0,2110233,318.0,590
14050,-1,14049,33.0,0,310.0,2100221,318.0,582
14099,-1,14098,33.0,0,484.0,2194601,478.0,1
14458,-1,14457,33.0,0,430.0,2142891,430.0,2502
14830,-1,14829,33.0,0,359.0,2238774,352.0,590
15458,-1,15457,33.0,0,484.0,2409220,467.0,1235
15795,-1,15794,33.0,0,489.0,2461553,484.0,4696
16293,-1,16292,33.0,0,310.0,2453644,322.0,582
16441,-1,16440,33.0,0,310.0,2466528,322.0,582
16875,-1,16874,33.0,0,359.0,2550227,318.0,591
16924,-1,16923,33.0,0,337.0,2553461,322.0,587
16940,-1,16939,33.0,0,310.0,2537238,322.0,582
17155,-1,17154,33.0,0,484.0,2660005,481.0,9993
17181,-1,17180,33.0,0,393.0,2532106,387.0,2563
17402,-1,17401,33.0,0,337.0,2611789,318.0,587
17432,-1,17431,33.0,0,337.0,2629411,326.0,586
17960,-1,17959,33.0,0,310.0,2691479,303.0,581
18007,-1,18006,33.0,0,467.0,2716781,461.0,2594
18082,-1,18081,33.0,0,337.0,2714619,322.0,586
18551,-1,18550,33.0,0,359.0,2793136,348.0,590
19024,-1,19023,33.0,0,484.0,2958853,467.0,848
19580,-1,19579,33.0,0,356.0,2952702,322.0,590
19732,-1,19731,33.0,0,393.0,2916119,404.0,24
20407,-1,20406,33.0,0,393.0,3005023,387.0,2562
21736,-1,21735,33.0,0,293.0,3271629,489.0,4796
21888,-1,21887,33.0,0,305.0,3293230,322.0,582
23156,-1,23155,33.0,0,359.0,3496119,318.0,590
24201,-1,24200,33.0,0,337.0,3639510,318.0,587
25657,-1,25656,33.0,0,467.0,3890189,430.0,1529
25827,-1,25826,33.0,0,467.0,3916265,446.0,15
27507,-1,27506,33.0,0,310.0,4146801,293.0,3133
27611,-1,27610,33.0,0,337.0,4159539,318.0,586
27951,-1,27950,33.0,0,337.0,4210953,318.0,588
28699,-1,28698,33.0,0,293.0,4326311,489.0,10063
28896,-1,28895,33.0,0,393.0,4248330,387.0,2563
29151,-1,29150,33.0,0,332.0,4396782,330.0,587
29501,-1,29500,33.0,0,337.0,4454072,310.0,256
30330,-1,30329,33.0,0,337.0,4570275,326.0,586
30868,-1,30867,33.0,0,310.0,4638208,318.0,582
30904,-1,30903,33.0,0,305.0,4659192,293.0,9676
31245,-1,31244,33.0,0,293.0,4698068,290.0,9800
31960,-1,31959,33.0,0,399.0,30113,382.0,8634
32610,-1,32609,33.0,0,484.0,5065074,467.0,2588
32629,-1,32628,33.0,0,430.0,4815167,389.0,618
32973,-1,32972,33.0,0,393.0,4850963,389.0,2563
33309,-1,33308,33.0,0,393.0,4892431,391.0,1702
33344,-1,33343,33.0,0,359.0,5031530,348.0,590
33497,-1,33496,33.0,0,359.0,5047198,352.0,589
33626,-1,33625,33.0,0,489.0,5219763,484.0,7244
