region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
145,-1,144,31.0,0,124.0,11342146,122.0,80389
176,-1,175,31.0,0,124.0,13862897,122.0,82370
232,-1,231,31.0,0,124.0,18267838,122.0,80352
236,-1,235,31.0,0,124.0,18593434,122.0,80442
249,-1,248,31.0,0,102.0,520,124.0,81098
276,-1,275,31.0,0,124.0,21695822,122.0,80372
336,-1,335,31.0,0,124.0,26274246,122.0,82450
456,-1,455,31.0,0,124.0,35733400,122.0,82459
679,-1,678,31.0,0,124.0,53118616,122.0,82430
682,-1,681,31.0,0,124.0,53363883,122.0,80349
725,-1,724,31.0,0,124.0,56709434,122.0,82434
867,-1,866,31.0,0,124.0,67807520,122.0,82423
975,-1,974,31.0,0,124.0,76291756,122.0,80396
1004,-1,1003,31.0,0,124.0,78649650,122.0,82445
1240,-1,1239,31.0,0,124.0,97092204,122.0,82449
1282,-1,1281,31.0,0,124.0,100357389,122.0,82419
1500,-1,1499,31.0,0,124.0,117336518,122.0,82456
1501,-1,1500,31.0,0,124.0,117418974,122.0,80348
1589,-1,1588,31.0,0,124.0,124274934,122.0,80394
1621,-1,1620,31.0,0,124.0,126878136,122.0,80395
1624,-1,1623,31.0,0,124.0,127121336,122.0,80376
1625,-1,1624,31.0,0,124.0,127201712,122.0,82462
1678,-1,1677,31.0,0,98.0,5213459,124.0,43707
1734,-1,1733,31.0,0,124.0,135616256,122.0,82434
1823,-1,1822,31.0,0,124.0,142554636,122.0,82404
1951,-1,1950,31.0,0,124.0,152665130,122.0,80358
1987,-1,1986,31.0,0,124.0,155441782,122.0,82441
1993,-1,1992,31.0,0,124.0,155930275,122.0,80414
2036,-1,2035,31.0,0,124.0,159277888,122.0,80382
2169,-1,2168,31.0,0,124.0,169644218,122.0,80442
2319,-1,2318,31.0,0,124.0,181391608,122.0,82444
2329,-1,2328,31.0,0,124.0,182205754,122.0,80380
2341,-1,2340,31.0,0,124.0,183180665,123.0,82465
2349,-1,2348,31.0,0,98.0,7281972,124.0,12271
2382,-1,2381,31.0,0,124.0,186365445,122.0,82399
2395,-1,2394,31.0,0,124.0,187422790,98.0,3172
2482,-1,2481,31.0,0,124.0,194198394,122.0,80361
2483,-1,2482,31.0,0,124.0,194278755,122.0,82463
2538,-1,2537,31.0,0,126.0,1325,122.0,82464
2606,-1,2605,31.0,0,124.0,203833041,122.0,80427
2684,-1,2683,31.0,0,98.0,8275022,96.0,82445
2712,-1,2711,31.0,0,124.0,212152421,122.0,82411
2765,-1,2764,31.0,0,124.0,216312142,122.0,82419
3054,-1,3053,31.0,0,124.0,238916406,122.0,80359
3084,-1,3083,31.0,0,124.0,241204593,122.0,82441
3215,-1,3214,31.0,0,124.0,251408171,122.0,82436
3257,-1,3256,31.0,0,124.0,254825501,122.0,80373
3279,-1,3278,31.0,0,124.0,256464434,122.0,80349
3299,-1,3298,31.0,0,124.0,258090651,122.0,80389
3385,-1,3384,31.0,0,124.0,264783774,122.0,82459
3507,-1,3506,31.0,0,124.0,274255651,122.0,82392
3550,-1,3549,31.0,0,124.0,277603256,122.0,80369
