region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
7,-1,6,23.0,0,54.0,722,47.0,103
11,-1,10,23.0,0,54.0,1135,47.0,103
14,-1,13,23.0,0,51.0,1448,51.0,103
19,-1,18,23.0,0,54.0,1961,47.0,103
46,-1,45,23.0,0,54.0,4752,47.0,103
60,-1,59,23.0,0,54.0,6198,47.0,103
69,-1,68,23.0,0,54.0,7128,51.0,103
75,-1,74,23.0,0,54.0,7748,47.0,103
87,-1,86,23.0,0,54.0,8987,47.0,103
135,-1,134,23.0,0,54.0,13947,47.0,103
140,-1,139,23.0,0,54.0,14464,51.0,103
203,-1,202,23.0,0,54.0,20974,47.0,104
238,-1,237,23.0,0,54.0,24591,47.0,103
251,-1,250,23.0,0,54.0,25934,47.0,103
252,-1,251,23.0,0,54.0,26037,47.0,103
254,-1,253,23.0,0,54.0,26243,47.0,103
276,-1,275,23.0,0,54.0,28517,47.0,103
277,-1,276,23.0,0,54.0,28620,47.0,103
279,-1,278,23.0,0,54.0,28827,47.0,103
287,-1,286,23.0,0,54.0,29653,51.0,103
292,-1,291,23.0,0,54.0,30169,51.0,103
295,-1,294,23.0,0,54.0,30480,47.0,103
301,-1,300,23.0,0,51.0,31103,51.0,103
309,-1,308,23.0,0,54.0,31926,51.0,103
321,-1,320,23.0,0,54.0,33166,47.0,104
343,-1,342,23.0,0,54.0,35439,47.0,103
348,-1,347,23.0,0,54.0,35956,51.0,103
349,-1,348,23.0,0,54.0,36060,47.0,103
369,-1,368,23.0,0,54.0,38126,47.0,103
371,-1,370,23.0,0,54.0,38332,47.0,103
373,-1,372,23.0,0,54.0,38538,51.0,103
381,-1,380,23.0,0,54.0,39366,47.0,103
395,-1,394,23.0,0,54.0,40813,47.0,103
429,-1,428,23.0,0,54.0,44325,51.0,103
447,-1,446,23.0,0,54.0,46185,47.0,103
453,-1,452,23.0,0,51.0,46808,51.0,103
471,-1,470,23.0,0,54.0,48665,47.0,105
475,-1,474,23.0,0,54.0,49079,47.0,103
477,-1,476,23.0,0,54.0,49286,47.0,103
485,-1,484,23.0,0,54.0,50112,51.0,103
489,-1,488,23.0,0,54.0,50525,51.0,103
490,-1,489,23.0,0,54.0,50629,47.0,103
492,-1,491,23.0,0,54.0,50835,47.0,103
498,-1,497,23.0,0,54.0,51455,51.0,103
515,-1,514,23.0,0,54.0,53212,47.0,103
516,-1,515,23.0,0,54.0,53315,51.0,103
524,-1,523,23.0,0,54.0,54142,47.0,103
545,-1,544,23.0,0,54.0,56311,51.0,103
547,-1,546,23.0,0,54.0,56519,47.0,103
573,-1,572,23.0,0,54.0,59206,47.0,103
576,-1,575,23.0,0,54.0,59516,47.0,103
608,-1,607,23.0,0,54.0,62822,51.0,103
