region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,29.0,0,29.0,0,86.0,90619
5,-1,4,29.0,0,311.0,144,309.0,69
7,-1,6,29.0,0,311.0,283,309.0,69
10,-1,9,29.0,0,311.0,490,229.0,113
39,-1,38,29.0,0,297.0,4580,229.0,160
161,-1,160,29.0,0,111.0,165172,106.0,76954
180,-1,179,29.0,0,204.0,11180,229.0,168
187,-1,186,29.0,0,204.0,12359,229.0,168
204,-1,203,29.0,0,204.0,15223,229.0,168
205,-1,204,29.0,0,204.0,15392,224.0,168
295,-1,294,29.0,0,297.0,13854,229.0,159
310,-1,309,29.0,0,295.0,16249,111.0,12896
331,-1,330,29.0,0,204.0,19206,224.0,168
368,-1,367,29.0,0,270.0,17249,268.0,168
436,-1,435,29.0,0,295.0,20296,224.0,159
527,-1,526,29.0,0,272.0,26623,240.0,168
559,-1,558,29.0,0,270.0,32014,224.0,169
578,-1,577,29.0,0,295.0,26895,224.0,159
614,-1,613,29.0,0,297.0,32640,111.0,16153
619,-1,618,29.0,0,204.0,32900,224.0,169
647,-1,646,29.0,0,204.0,37620,224.0,168
672,-1,671,29.0,0,270.0,33640,240.0,168
724,-1,723,29.0,0,295.0,34133,229.0,159
766,-1,765,29.0,0,295.0,40835,111.0,17782
846,-1,845,29.0,0,270.0,45542,224.0,167
858,-1,857,29.0,0,272.0,47564,229.0,168
1074,-1,1073,29.0,0,111.0,1824763,229.0,144
1076,-1,1075,29.0,0,204.0,57656,224.0,168
1123,-1,1122,29.0,0,270.0,57384,224.0,168
1153,-1,1152,29.0,0,270.0,62438,224.0,169
1210,-1,1209,29.0,0,295.0,63507,224.0,160
1273,-1,1272,29.0,0,206.0,73433,240.0,168
1314,-1,1313,29.0,0,272.0,72150,224.0,168
1353,-1,1352,29.0,0,295.0,70266,229.0,159
1414,-1,1413,29.0,0,206.0,79775,224.0,169
1440,-1,1439,29.0,0,270.0,75965,224.0,169
1485,-1,1484,29.0,0,297.0,75268,240.0,160
1495,-1,1494,29.0,0,297.0,76865,224.0,159
1526,-1,1525,29.0,0,295.0,81812,111.0,25926
1539,-1,1538,29.0,0,204.0,83423,229.0,168
1566,-1,1565,29.0,0,204.0,87972,224.0,168
1646,-1,1645,29.0,0,297.0,84901,229.0,159
1675,-1,1674,29.0,0,295.0,89529,229.0,159
1706,-1,1705,29.0,0,204.0,94145,224.0,168
1786,-1,1785,29.0,0,295.0,91181,229.0,159
1941,-1,1940,29.0,0,297.0,99855,229.0,159
2014,-1,2013,29.0,0,204.0,111211,224.0,168
2062,-1,2061,29.0,0,272.0,111106,224.0,168
2389,-1,2388,29.0,0,295.0,123165,224.0,159
2412,-1,2411,29.0,0,295.0,126836,229.0,158
2454,-1,2453,29.0,0,206.0,133101,229.0,168
2557,-1,2556,29.0,0,295.0,133913,224.0,159
2590,-1,2589,29.0,0,297.0,139179,111.0,37327
2729,-1,2728,29.0,0,295.0,145300,224.0,160
2741,-1,2740,29.0,0,297.0,147215,224.0,159
2745,-1,2744,29.0,0,111.0,4649310,229.0,16
2760,-1,2759,29.0,0,204.0,149830,224.0,168
2849,-1,2848,29.0,0,295.0,148390,229.0,160
2851,-1,2850,29.0,0,295.0,148709,293.0,158
2999,-1,2998,29.0,0,295.0,156266,224.0,158
3002,-1,3001,29.0,0,297.0,156744,224.0,160
3062,-1,3061,29.0,0,204.0,165883,224.0,168
