region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
12,-1,11,89.0,0,146.0,40929217,144.0,12500000
14,-1,13,89.0,0,147.0,65929219,145.0,12500000
16,-1,15,89.0,0,147.0,90929220,144.0,12500000
19,-1,18,89.0,0,147.0,128429221,174.0,162
32,-1,31,89.0,0,121.0,191572901,122.0,15384615
34,-1,33,89.0,0,121.0,222342134,122.0,15384615
36,-1,35,89.0,0,122.0,253111365,123.0,4
45,-1,44,89.0,0,147.0,234249702,144.0,12500000
52,-1,51,89.0,0,174.0,1745,160.0,54
54,-1,53,89.0,0,174.0,1852,167.0,76
59,-1,58,89.0,0,122.0,306224782,120.0,15384615
62,-1,61,89.0,0,121.0,352378632,119.0,15384616
63,-1,62,89.0,0,122.0,367763248,119.0,15384616
66,-1,65,89.0,0,146.0,277570178,144.0,12499999
78,-1,77,89.0,0,168.0,2571,160.0,129
92,-1,91,89.0,0,122.0,513184370,120.0,15384616
100,-1,99,89.0,0,147.0,483390667,144.0,12500000
102,-1,101,89.0,0,147.0,508390669,146.0,12500000
109,-1,108,89.0,0,168.0,3818,160.0,53
117,-1,116,89.0,0,121.0,597067027,119.0,15384616
119,-1,118,89.0,0,122.0,627836258,119.0,15384616
120,-1,119,89.0,0,122.0,643220875,120.0,15384615
123,-1,122,89.0,0,147.0,551711146,144.0,12500000
128,-1,127,89.0,0,147.0,614211149,144.0,12500000
130,-1,129,89.0,0,146.0,639211151,144.0,12500000
141,-1,140,89.0,0,173.0,665395157,121.0,9861041
144,-1,143,89.0,0,121.0,711718914,119.0,15384616
150,-1,149,89.0,0,120.0,804026613,147.0,11442990
161,-1,160,89.0,0,168.0,5176,160.0,252
167,-1,166,89.0,0,173.0,763913021,160.0,82
168,-1,167,89.0,0,168.0,6023,160.0,75
170,-1,169,89.0,0,121.0,810986187,119.0,15384615
171,-1,170,89.0,0,122.0,826370802,120.0,15384616
172,-1,171,89.0,0,122.0,841755419,119.0,15384616
173,-1,172,89.0,0,122.0,857140035,120.0,15384615
176,-1,175,89.0,0,121.0,903293884,122.0,15384616
188,-1,187,89.0,0,147.0,925852120,145.0,12500000
192,-1,191,89.0,0,168.0,6787,160.0,53
195,-1,194,89.0,0,168.0,6950,160.0,62
199,-1,198,89.0,0,121.0,956407305,120.0,15384616
203,-1,202,89.0,0,122.0,1017945770,120.0,15384616
205,-1,204,89.0,0,122.0,1048715001,119.0,15384616
210,-1,209,89.0,0,147.0,981672598,144.0,12500000
231,-1,230,89.0,0,122.0,1147982274,121.0,15384615
235,-1,234,89.0,0,146.0,1074993080,144.0,12500000
246,-1,245,89.0,0,168.0,8297,160.0,243
247,-1,246,89.0,0,168.0,8541,167.0,262
257,-1,256,89.0,0,122.0,1247249546,121.0,15384616
260,-1,259,89.0,0,122.0,1293403396,120.0,15384616
263,-1,262,89.0,0,122.0,1339557244,145.0,10354015
264,-1,263,89.0,0,145.0,1218313567,144.0,12499998
271,-1,270,89.0,0,146.0,1305813574,144.0,12500000
276,-1,275,89.0,0,168.0,9744,172.0,15154937
