region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
6,-1,5,162.0,0,490.0,52,371.0,51
52,-1,51,162.0,0,377.0,1596,361.0,12
122,-1,121,162.0,0,371.0,3663,361.0,33
183,-1,182,162.0,0,515.0,108902,382.0,1
233,-1,232,162.0,0,537.0,139305,519.0,3396
302,-1,301,162.0,0,361.0,8910,537.0,2243
306,-1,305,162.0,0,371.0,9069,361.0,45
348,-1,347,162.0,0,519.0,209962,377.0,18
354,-1,353,162.0,0,537.0,215098,466.0,2922
448,-1,447,162.0,0,358.0,13203,537.0,3109
498,-1,497,162.0,0,361.0,14625,167.0,1
513,-1,512,162.0,0,519.0,311024,377.0,30
546,-1,545,162.0,0,377.0,16053,373.0,88
769,-1,768,162.0,0,371.0,22659,356.0,57
813,-1,812,162.0,0,371.0,23925,361.0,24
847,-1,846,162.0,0,361.0,24879,537.0,721
953,-1,952,162.0,0,377.0,28065,361.0,69
956,-1,955,162.0,0,537.0,578419,490.0,30
961,-1,960,162.0,0,361.0,28215,547.0,1
976,-1,975,162.0,0,439.0,616,371.0,42
1005,-1,1004,162.0,0,358.0,29482,349.0,1
1012,-1,1011,162.0,0,361.0,29730,537.0,1478
1046,-1,1045,162.0,0,466.0,631771,373.0,64
1102,-1,1101,162.0,0,537.0,667700,477.0,1
1189,-1,1188,162.0,0,361.0,34887,346.0,3085
1211,-1,1210,162.0,0,454.0,733546,377.0,78
1279,-1,1278,162.0,0,553.0,827024,519.0,1876
1431,-1,1430,162.0,0,167.0,226,523.0,1
1435,-1,1434,162.0,0,371.0,42210,361.0,81
1585,-1,1584,162.0,0,466.0,958637,180.0,1
