region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
27,-1,26,162.0,0,381.0,18446,381.0,718
465,-1,464,162.0,0,377.0,2313,381.0,717
537,-1,536,162.0,0,484.0,118780,477.0,1
544,-1,543,162.0,0,389.0,143212,381.0,335
1052,-1,1051,162.0,0,346.0,252467,553.0,4601
1515,-1,1514,162.0,0,490.0,2208,466.0,956
1523,-1,1522,162.0,0,381.0,358870,381.0,718
1541,-1,1540,162.0,0,381.0,371793,410.0,717
1959,-1,1958,162.0,0,381.0,462290,381.0,718
2027,-1,2026,162.0,0,365.0,486042,346.0,4888
2788,-1,2787,162.0,0,365.0,665597,346.0,9473
3190,-1,3189,162.0,0,365.0,744097,400.0,734
3221,-1,3220,162.0,0,365.0,766834,361.0,14
4103,-1,4102,162.0,0,537.0,957258,534.0,2023
4304,-1,4303,162.0,0,365.0,1020300,365.0,733
4492,-1,4491,162.0,0,365.0,1050018,400.0,733
4627,-1,4626,162.0,0,365.0,1094946,400.0,733
4666,-1,4665,162.0,0,484.0,1070136,466.0,2346
4791,-1,4790,162.0,0,381.0,1133073,410.0,717
5342,-1,5341,162.0,0,377.0,23751,381.0,718
5398,-1,5397,162.0,0,346.0,1278208,553.0,5943
5531,-1,5530,162.0,0,519.0,1303896,484.0,2635
5794,-1,5793,162.0,0,381.0,1381560,377.0,13
5944,-1,5943,162.0,0,553.0,1436120,547.0,1
6194,-1,6193,162.0,0,389.0,1483093,381.0,651
6542,-1,6541,162.0,0,377.0,29097,381.0,717
6647,-1,6646,162.0,0,381.0,1574756,410.0,717
7161,-1,7160,162.0,0,519.0,1688871,484.0,4600
7222,-1,7221,162.0,0,365.0,1700192,365.0,731
7292,-1,7291,162.0,0,381.0,1723424,381.0,718
7348,-1,7347,162.0,0,365.0,1738518,356.0,15
7584,-1,7583,162.0,0,537.0,1785265,527.0,2024
8030,-1,8029,162.0,0,519.0,1893170,484.0,3597
8131,-1,8130,162.0,0,519.0,1895745,510.0,3012
8456,-1,8455,162.0,0,537.0,1995800,519.0,1525
8874,-1,8873,162.0,0,346.0,2091209,553.0,1166
9273,-1,9272,162.0,0,361.0,40816,365.0,733
9560,-1,9559,162.0,0,466.0,2248921,389.0,4079
9660,-1,9659,162.0,0,519.0,2278133,484.0,5537
10068,-1,10067,162.0,0,346.0,2362366,343.0,9503
10073,-1,10072,162.0,0,553.0,2436861,537.0,964
10104,-1,10103,162.0,0,444.0,370,389.0,19241
10248,-1,10247,162.0,0,381.0,2430826,410.0,717
10750,-1,10749,162.0,0,484.0,2467012,466.0,1639
12031,-1,12030,162.0,0,537.0,2819756,527.0,2023
12096,-1,12095,162.0,0,381.0,2866764,365.0,285
12361,-1,12360,162.0,0,537.0,2904777,535.0,2023
12583,-1,12582,162.0,0,537.0,2965503,534.0,2023
12628,-1,12627,162.0,0,381.0,2986702,381.0,717
12793,-1,12792,162.0,0,537.0,3001947,527.0,2024
13417,-1,13416,162.0,0,365.0,3161003,361.0,13
13693,-1,13692,162.0,0,377.0,60513,381.0,717
14809,-1,14808,162.0,0,381.0,3504505,410.0,717
14847,-1,14846,162.0,0,365.0,3506715,346.0,3260
14983,-1,14982,162.0,0,519.0,3530602,484.0,1647
15735,-1,15734,162.0,0,537.0,3710486,519.0,760
15745,-1,15744,162.0,0,484.0,3598804,490.0,40
16562,-1,16561,162.0,0,361.0,73111,365.0,733
16731,-1,16730,162.0,0,466.0,3940416,389.0,11697
16897,-1,16896,162.0,0,365.0,3982656,365.0,732
17036,-1,17035,162.0,0,537.0,4012132,527.0,2024
17131,-1,17130,162.0,0,346.0,4036209,553.0,702
17709,-1,17708,162.0,0,466.0,4171753,389.0,15467
17872,-1,17871,162.0,0,365.0,4210994,400.0,732
18080,-1,18079,162.0,0,365.0,4255383,356.0,15
18504,-1,18503,162.0,0,381.0,4375662,410.0,718
18522,-1,18521,162.0,0,365.0,4363221,365.0,733
19084,-1,19083,162.0,0,365.0,4504988,346.0,1609
19309,-1,19308,162.0,0,537.0,4532411,534.0,2023
19443,-1,19442,162.0,0,466.0,4560161,448.0,4893
19701,-1,19700,162.0,0,381.0,4658624,365.0,144
19956,-1,19955,162.0,0,346.0,4703804,553.0,2240
20963,-1,20962,162.0,0,484.0,4815140,466.0,3162
21011,-1,21010,162.0,0,365.0,4944793,365.0,734
21187,-1,21186,162.0,0,389.0,5014066,381.0,584
21263,-1,21262,162.0,0,553.0,5136321,550.0,7324
21666,-1,21665,162.0,0,365.0,5100693,365.0,733
21947,-1,21946,162.0,0,389.0,5183163,381.0,216
