region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
285,-1,284,36.0,0,332.0,237854,565.0,1755
420,-1,419,36.0,0,539.0,5663,480.0,2
429,-1,428,36.0,0,558.0,94,492.0,2663
467,-1,466,36.0,0,485.0,102,383.0,665
630,-1,629,36.0,0,329.0,524793,575.0,1
672,-1,671,36.0,0,298.0,560730,558.0,1
747,-1,746,36.0,0,531.0,10087,168.0,1
855,-1,854,36.0,0,376.0,714074,185.0,1
998,-1,997,36.0,0,180.0,217,586.0,3649
1022,-1,1021,36.0,0,586.0,912663,534.0,24
1059,-1,1058,36.0,0,581.0,945646,534.0,44
1064,-1,1063,36.0,0,565.0,890488,492.0,1364
1066,-1,1065,36.0,0,435.0,890615,180.0,1
1228,-1,1227,36.0,0,178.0,267,161.0,1
1261,-1,1260,36.0,0,350.0,1052364,565.0,3037
1374,-1,1373,36.0,0,168.0,299,380.0,2146
1439,-1,1438,36.0,0,432.0,1203037,329.0,1342
1453,-1,1452,36.0,0,175.0,316,329.0,2552
1699,-1,1698,36.0,0,565.0,1419641,521.0,1
1701,-1,1700,36.0,0,435.0,1419845,386.0,3384
1714,-1,1713,36.0,0,494.0,1339043,438.0,2618
1723,-1,1722,36.0,0,521.0,375,438.0,1318
1751,-1,1750,36.0,0,494.0,1368981,438.0,3738
1803,-1,1802,36.0,0,386.0,1504723,329.0,3700
1841,-1,1840,36.0,0,185.0,400,41.0,1
