region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,89.0,0,89.0,0,121.0,3845633
1,-1,0,89.0,0,121.0,3845633,119.0,3846154
2,0,1,121.0,3845633,119.0,3846154,145.0,2556978
3,1,2,121.0,7691787,145.0,2556978,144.0,3125000
4,2,3,145.0,2556978,144.0,3125000,168.0,257
5,3,4,146.0,5681978,168.0,257,162.0,261
6,4,5,168.0,257,162.0,261,162.0,305
7,5,6,168.0,518,162.0,305,120.0,3581768
8,6,7,168.0,823,120.0,3581768,119.0,3846154
9,7,8,120.0,11970376,119.0,3846154,146.0,2342587
10,8,9,120.0,15816530,146.0,2342587,144.0,3125000
11,9,10,146.0,10731195,144.0,3125000,168.0,196
12,10,11,147.0,13856195,168.0,196,162.0,309
13,11,12,168.0,1219,162.0,309,162.0,259
14,12,13,168.0,1528,162.0,259,120.0,3317902
15,13,14,168.0,1787,120.0,3317902,119.0,3846154
16,14,15,120.0,20095118,119.0,3846154,146.0,2128196
17,15,16,120.0,23941272,146.0,2128196,144.0,3125000
18,16,17,146.0,18905412,144.0,3125000,144.0,3125000
19,17,18,147.0,22030412,144.0,3125000,168.0,492
20,18,19,145.0,25155413,168.0,492,162.0,235
21,19,20,168.0,2538,162.0,235,121.0,3054036
22,20,21,168.0,2773,121.0,3054036,119.0,3846154
23,21,22,121.0,28219860,119.0,3846154,146.0,1913805
24,22,23,121.0,32066014,146.0,1913805,144.0,3125000
25,23,24,146.0,27079629,144.0,3125000,144.0,3125000
26,24,25,147.0,30204629,144.0,3125000,168.0,479
27,25,26,145.0,33329630,168.0,479,162.0,220
28,26,27,168.0,3548,162.0,220,121.0,2790170
29,27,28,168.0,3768,121.0,2790170,119.0,3846154
30,28,29,121.0,36344602,119.0,3846154,146.0,1699414
31,29,30,121.0,40190756,146.0,1699414,144.0,3125000
32,30,31,146.0,35253846,144.0,3125000,144.0,3125000
33,31,32,147.0,38378846,144.0,3125000,168.0,466
34,32,33,145.0,41503847,168.0,466,162.0,210
35,33,34,168.0,4558,162.0,210,119.0,2526305
36,34,35,168.0,4768,119.0,2526305,119.0,3846154
37,35,36,120.0,44469345,119.0,3846154,146.0,1485023
38,36,37,120.0,48315499,146.0,1485023,144.0,3125000
39,37,38,146.0,43428063,144.0,3125000,144.0,3125000
40,38,39,147.0,46553063,144.0,3125000,168.0,453
41,39,40,145.0,49678064,168.0,453,162.0,203
42,40,41,168.0,5568,162.0,203,119.0,2262439
43,41,42,168.0,5771,119.0,2262439,119.0,3846154
44,42,43,120.0,52594087,119.0,3846154,146.0,1270632
45,43,44,120.0,56440241,146.0,1270632,144.0,3125000
46,44,45,146.0,51602280,144.0,3125000,144.0,3125000
47,45,46,147.0,54727280,144.0,3125000,168.0,439
48,46,47,145.0,57852281,168.0,439,162.0,199
49,47,48,168.0,6577,162.0,199,121.0,1998572
50,48,49,168.0,6776,121.0,1998572,119.0,3846154
51,49,50,121.0,60718828,119.0,3846154,145.0,1056241
52,50,51,121.0,64564982,145.0,1056241,144.0,3125000
53,51,52,145.0,59776497,144.0,3125000,144.0,3125000
54,52,53,146.0,62901497,144.0,3125000,168.0,425
55,53,54,147.0,66026497,168.0,425,162.0,197
56,54,55,168.0,7586,162.0,197,119.0,1734707
57,55,56,168.0,7783,119.0,1734707,119.0,3846154
58,56,57,120.0,68843571,119.0,3846154,145.0,841850
59,57,58,120.0,72689725,145.0,841850,144.0,3125000
60,58,59,145.0,67950714,144.0,3125000,144.0,3125000
61,59,60,146.0,71075714,144.0,3125000,168.0,410
62,60,61,147.0,74200714,168.0,410,162.0,196
63,61,62,168.0,8594,162.0,196,121.0,1470841
64,62,63,168.0,8790,121.0,1470841,119.0,3846154
65,63,64,121.0,76968313,119.0,3846154,146.0,627459
66,64,65,121.0,80814467,146.0,627459,144.0,3125000
67,65,66,146.0,76124931,144.0,3125000,144.0,3125000
68,66,67,147.0,79249931,144.0,3125000,168.0,394
69,67,68,145.0,82374932,168.0,394,162.0,197
70,68,69,168.0,9601,162.0,197,197.0,1
