region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,27.0,0,27.0,0,373.0,11445
1,-1,0,27.0,0,373.0,11445,365.0,11445
2,0,1,373.0,11445,365.0,11445,361.0,11445
3,1,2,365.0,22891,361.0,11445,365.0,11445
4,2,3,373.0,34336,365.0,11445,361.0,11445
5,3,4,365.0,45782,361.0,11445,385.0,6580
6,4,5,373.0,57227,385.0,6580,383.0,28686
7,5,6,385.0,6580,383.0,28686,383.0,28686
8,6,7,385.0,35266,383.0,28686,353.0,6591
9,7,8,385.0,63952,353.0,6591,351.0,6976
10,8,9,353.0,6591,351.0,6976,145.0,5
11,9,10,355.0,13567,145.0,5,375.0,8860
12,10,11,145.0,6,375.0,8860,319.0,9921
13,11,12,374.0,14317,319.0,9921,238.0,7019
14,12,13,319.0,15361,238.0,7019,365.0,561
15,13,14,220.0,12334,365.0,561,361.0,11445
16,14,15,371.0,66097,361.0,11445,365.0,11445
17,15,16,373.0,77542,365.0,11445,361.0,11445
18,16,17,371.0,88988,361.0,11445,365.0,11445
19,17,18,373.0,100433,365.0,11445,361.0,11446
20,18,19,371.0,111879,361.0,11446,319.0,3100
21,19,20,371.0,123325,319.0,3100,307.0,11137
22,20,21,319.0,24924,307.0,11137,307.0,11137
23,21,22,319.0,36061,307.0,11137,311.0,11137
24,22,23,319.0,47198,311.0,11137,307.0,11137
25,23,24,315.0,58336,307.0,11137,307.0,11137
26,24,25,315.0,69473,307.0,11137,373.0,3996
27,25,26,315.0,80610,373.0,3996,365.0,11445
28,26,27,373.0,135068,365.0,11445,361.0,11445
29,27,28,371.0,146514,361.0,11445,361.0,11446
30,28,29,373.0,157959,361.0,11446,365.0,11445
31,29,30,373.0,169405,365.0,11445,361.0,11445
32,30,31,371.0,180851,361.0,11445,355.0,4036
33,31,32,373.0,192296,355.0,4036,351.0,6976
34,32,33,355.0,25880,351.0,6976,353.0,8397
35,33,34,355.0,32856,353.0,8397,369.0,9160
36,34,35,353.0,41254,369.0,9160,311.0,1896
37,35,36,374.0,31016,311.0,1896,238.0,3314
38,36,37,315.0,94696,238.0,3314,212.0,10117
39,37,38,220.0,30584,212.0,10117,365.0,7815
40,38,39,220.0,40701,365.0,7815,361.0,11445
41,39,40,371.0,204423,361.0,11445,365.0,11445
42,40,41,373.0,215868,365.0,11445,361.0,11445
43,41,42,371.0,227314,361.0,11445,361.0,11446
44,42,43,373.0,238759,361.0,11446,365.0,11445
45,43,44,373.0,250205,365.0,11445,311.0,10159
46,44,45,371.0,261651,311.0,10159,307.0,11137
47,45,46,315.0,119343,307.0,11137,307.0,11137
48,46,47,315.0,130480,307.0,11137,307.0,11137
49,47,48,319.0,141617,307.0,11137,307.0,11137
50,48,49,319.0,152754,307.0,11137,341.0,247
51,49,50,319.0,163891,341.0,247,373.0,11250
52,50,51,341.0,3047,373.0,11250,361.0,11446
53,51,52,373.0,273394,361.0,11446,365.0,11445
54,52,53,373.0,284840,365.0,11445,361.0,11445
55,53,54,371.0,296286,361.0,11445,365.0,11445
