region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,89.0,0,89.0,0,120.0,3845634
1,-1,0,89.0,0,120.0,3845634,120.0,3846154
2,0,1,120.0,3845634,120.0,3846154,144.0,2556979
3,1,2,120.0,7691788,144.0,2556979,144.0,3125000
4,2,3,144.0,2556979,144.0,3125000,173.0,359658
5,3,4,144.0,5681979,173.0,359658,172.0,3965719
6,4,5,173.0,359658,172.0,3965719,173.0,3931843
7,5,6,172.0,4325377,173.0,3931843,122.0,3581768
8,6,7,173.0,8257219,122.0,3581768,119.0,3846154
9,7,8,122.0,11970376,119.0,3846154,145.0,2342588
10,8,9,122.0,15816530,145.0,2342588,145.0,3125000
11,9,10,145.0,10731196,145.0,3125000,171.0,120965
12,10,11,145.0,13856196,171.0,120965,172.0,3928763
13,11,12,171.0,8510597,172.0,3928763,171.0,3967518
14,12,13,172.0,12438139,171.0,3967518,119.0,3317903
15,13,14,171.0,16407186,119.0,3317903,119.0,3846154
16,14,15,119.0,20095121,119.0,3846154,144.0,2128197
17,15,16,122.0,23941272,144.0,2128197,145.0,3125000
18,16,17,145.0,18905413,145.0,3125000,146.0,3125000
19,17,18,145.0,22030413,146.0,3125000,173.0,3773685
20,18,19,146.0,25155413,173.0,3773685,172.0,3985737
21,19,20,173.0,20550901,172.0,3985737,120.0,3054037
22,20,21,172.0,24536638,120.0,3054037,120.0,3846154
23,21,22,120.0,28219861,120.0,3846154,145.0,1913806
24,22,23,120.0,32066015,145.0,1913806,145.0,3125000
25,23,24,145.0,27079630,145.0,3125000,146.0,3125000
26,24,25,145.0,30204630,146.0,3125000,171.0,3498319
27,25,26,146.0,33329630,171.0,3498319,172.0,3997286
28,26,27,171.0,28667215,172.0,3997286,120.0,2790171
29,27,28,172.0,32660949,120.0,2790171,120.0,3846154
30,28,29,120.0,36344603,120.0,3846154,145.0,1699415
31,29,30,120.0,40190757,145.0,1699415,145.0,3125000
32,30,31,145.0,35253847,145.0,3125000,146.0,3125000
33,31,32,145.0,38378847,146.0,3125000,172.0,3221994
34,32,33,146.0,41503847,172.0,3221994,173.0,4004985
35,33,34,172.0,36776426,173.0,4004985,121.0,2526305
36,34,35,173.0,40781410,121.0,2526305,121.0,3846154
37,35,36,121.0,44469345,121.0,3846154,145.0,1485024
38,36,37,121.0,48315499,145.0,1485024,145.0,3125000
39,37,38,145.0,43428064,145.0,3125000,146.0,3125000
40,38,39,145.0,46553064,146.0,3125000,172.0,2946148
41,39,40,146.0,49678064,172.0,2946148,172.0,4010374
42,40,41,172.0,44889188,172.0,4010374,121.0,2262439
43,41,42,172.0,48899562,121.0,2262439,121.0,3846154
44,42,43,121.0,52594087,121.0,3846154,145.0,1270633
45,43,44,121.0,56440241,145.0,1270633,145.0,3125000
46,44,45,145.0,51602281,145.0,3125000,146.0,3125000
47,45,46,145.0,54727281,146.0,3125000,173.0,2671072
48,46,47,146.0,57852281,173.0,2671072,171.0,4013653
49,47,48,173.0,53002720,171.0,4013653,120.0,1998573
50,48,49,171.0,57022956,120.0,1998573,120.0,3846154
51,49,50,120.0,60718829,120.0,3846154,144.0,1056242
52,50,51,120.0,64564983,144.0,1056242,144.0,3125000
53,51,52,144.0,59776505,144.0,3125000,145.0,3125000
54,52,53,145.0,62901498,145.0,3125000,173.0,2395996
55,53,54,145.0,66026498,173.0,2395996,171.0,4015191
56,54,55,173.0,61116252,171.0,4015191,121.0,1734707
57,55,56,171.0,65139036,121.0,1734707,121.0,3846154
58,56,57,121.0,68843571,121.0,3846154,144.0,841851
59,57,58,121.0,72689725,144.0,841851,144.0,3125000
60,58,59,144.0,67950723,144.0,3125000,145.0,3125000
61,59,60,145.0,71075715,145.0,3125000,173.0,2121690
62,60,61,145.0,74200715,173.0,2121690,172.0,4015764
63,61,62,173.0,69230554,172.0,4015764,120.0,1470842
64,62,63,172.0,73246318,120.0,1470842,120.0,3846154
65,63,64,120.0,76968314,120.0,3846154,145.0,627460
66,64,65,120.0,80814468,145.0,627460,145.0,3125000
67,65,66,145.0,76124932,145.0,3125000,146.0,3125000
68,66,67,145.0,79249932,146.0,3125000,171.0,1848549
69,67,68,146.0,82374932,171.0,1848549,172.0,4014994
70,68,69,171.0,77355237,172.0,4014994,197.0,1
