region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,27.0,0,27.0,0,372.0,1464970
1,-1,0,27.0,0,372.0,1464970,364.0,1476435
2,0,1,372.0,1464970,364.0,1476435,372.0,1465010
3,1,2,364.0,2952969,372.0,1465010,364.0,1476476
4,2,3,372.0,4395058,364.0,1476476,372.0,1465050
5,3,4,364.0,5905949,372.0,1465050,388.0,842254
6,4,5,372.0,7325146,388.0,842254,388.0,3671831
7,5,6,388.0,842254,388.0,3671831,388.0,3671831
8,6,7,388.0,4514085,388.0,3671831,357.0,850349
9,7,8,388.0,8185916,357.0,850349,356.0,893000
10,8,9,357.0,850349,356.0,893000,318.0,24164
11,9,10,356.0,1736648,318.0,24164,376.0,1134169
12,10,11,318.0,24164,376.0,1134169,318.0,634997
13,11,12,376.0,1433753,318.0,634997,237.0,449242
14,12,13,318.0,784757,237.0,449242,364.0,72403
15,13,14,237.0,604178,364.0,72403,372.0,1465014
16,14,15,364.0,9746755,372.0,1465014,364.0,1476480
17,15,16,372.0,9925430,364.0,1476480,372.0,1465054
18,16,17,364.0,12699735,372.0,1465054,364.0,1476522
19,17,18,372.0,12855518,364.0,1476522,364.0,1476422
20,18,19,364.0,15652716,364.0,1476422,318.0,396855
21,19,20,364.0,17129138,318.0,396855,318.0,1425561
22,20,21,318.0,1595191,318.0,1425561,318.0,1425561
23,21,22,318.0,3020752,318.0,1425561,310.0,1436674
24,22,23,318.0,4446313,310.0,1436674,310.0,1436700
25,23,24,310.0,5930265,310.0,1436700,310.0,1436700
26,24,25,310.0,7366965,310.0,1436700,372.0,511568
27,25,26,310.0,8803665,372.0,511568,364.0,1476507
28,26,27,372.0,17288784,364.0,1476507,372.0,1465080
29,27,28,364.0,20120616,372.0,1465080,372.0,1464980
30,28,29,372.0,20218872,372.0,1464980,364.0,1476437
31,29,30,372.0,21683852,364.0,1476437,372.0,1465012
32,30,31,364.0,24550019,372.0,1465012,356.0,516632
33,31,32,372.0,24613940,356.0,516632,356.0,893011
34,32,33,356.0,2913376,356.0,893011,357.0,889589
35,33,34,356.0,3806387,357.0,889589,364.0,397113
