region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
514,512,513,484.0,88384,481.0,9992,469.0,1758
679,677,678,293.0,89988,290.0,9800,489.0,14896
715,713,714,382.0,102539,382.0,13497,322.0,448
1201,1199,1200,469.0,195831,461.0,2594,464.0,5186
2117,2115,2116,359.0,332137,318.0,590,337.0,584
2402,2400,2401,430.0,370681,430.0,2501,414.0,254
3071,3069,3070,469.0,485259,461.0,2593,373.0,8
3415,3413,3414,430.0,507447,430.0,2501,430.0,5006
4260,4258,4259,464.0,667215,461.0,2594,430.0,2530
4382,4380,4381,310.0,647169,322.0,582,299.0,1164
4450,4448,4449,393.0,672188,382.0,411,382.0,27778
4722,4720,4721,310.0,699165,318.0,583,299.0,1164
4789,4787,4788,393.0,721210,387.0,2563,393.0,3572
4790,4788,4789,393.0,723773,393.0,3572,380.0,35670
5601,5599,5600,310.0,845183,299.0,582,293.0,13010
5773,5771,5772,293.0,862218,290.0,9800,489.0,4766
6406,6404,6405,337.0,972210,322.0,587,310.0,580
6857,6855,6856,354.0,1040454,322.0,590,318.0,1180
6979,6977,6978,430.0,1030003,436.0,17,430.0,5010
7205,7203,7204,354.0,1097186,318.0,590,322.0,1180
7214,7212,7213,337.0,1076372,318.0,587,322.0,1174
7307,7305,7306,481.0,1148092,481.0,9991,467.0,3494
8288,8286,8287,310.0,1237749,322.0,582,318.0,1164
9024,9022,9023,430.0,1350044,430.0,2502,375.0,2
9698,9696,9697,430.0,1439198,430.0,2502,430.0,5006
10021,10019,10020,489.0,1566546,487.0,10156,484.0,4698
10494,10492,10493,310.0,1570190,299.0,581,318.0,1164
10606,10604,10605,354.0,1612532,318.0,590,318.0,1180
10868,10866,10867,290.0,1642630,290.0,9798,489.0,14948
10900,10898,10899,393.0,1615615,387.0,2563,387.0,5126
12404,12402,12403,464.0,1880376,462.0,2593,461.0,5186
12687,12685,12686,337.0,1918990,322.0,587,318.0,1174
13712,13710,13711,310.0,2052209,299.0,582,318.0,1164
13961,13959,13960,393.0,2077810,382.0,16722,359.0,804
13980,13978,13979,359.0,2112337,322.0,590,318.0,1180
14050,14048,14049,310.0,2103039,318.0,583,318.0,1164
14099,14097,14098,481.0,2196810,481.0,9993,478.0,2
14458,14456,14457,430.0,2153429,430.0,2503,430.0,5004
14830,14828,14829,359.0,2241469,322.0,590,352.0,1180
15458,15456,15457,481.0,2421320,481.0,9993,467.0,2470
15795,15793,15794,489.0,2476471,487.0,10156,484.0,9392
16293,16291,16292,310.0,2457045,299.0,582,322.0,1164
16441,16439,16440,310.0,2470511,318.0,582,322.0,1164
16875,16873,16874,359.0,2553513,318.0,590,318.0,1182
16924,16922,16923,337.0,2554635,318.0,586,322.0,1174
16940,16938,16939,310.0,2541805,299.0,582,322.0,1164
17155,17153,17154,489.0,2706705,484.0,9361,481.0,19986
17181,17179,17180,393.0,2536022,387.0,2563,387.0,5126
17402,17400,17401,170.0,104,326.0,585,318.0,1174
17432,17430,17431,337.0,2631757,322.0,587,326.0,1172
17960,17958,17959,310.0,2696628,318.0,583,303.0,1162
18007,18005,18006,469.0,2726568,461.0,2593,461.0,5188
18082,18080,18081,337.0,2717554,326.0,586,322.0,1172
18551,18549,18550,359.0,2797012,318.0,590,348.0,1180
19024,19022,19023,481.0,2990872,481.0,9991,467.0,1696
19580,19578,19579,359.0,2957167,318.0,590,322.0,1180
19732,19730,19731,393.0,2922599,389.0,2563,404.0,48
20407,20405,20406,393.0,3014043,389.0,2563,387.0,5124
21736,21734,21735,290.0,3281029,290.0,9800,489.0,9592
21888,21886,21887,310.0,3298961,322.0,582,322.0,1164
23156,23154,23155,359.0,3501176,348.0,590,318.0,1180
24201,24199,24200,337.0,3643032,318.0,587,318.0,1174
25657,25655,25656,469.0,3903416,461.0,2595,430.0,3058
25827,25825,25826,469.0,3930504,461.0,2594,446.0,30
27507,27505,27506,310.0,4153116,318.0,582,293.0,6266
27611,27609,27610,337.0,4163648,322.0,587,318.0,1172
27951,27949,27950,337.0,4215648,318.0,587,318.0,1176
28699,28697,28698,290.0,4344015,290.0,9798,489.0,20126
28896,28894,28895,393.0,4259914,387.0,2563,387.0,5126
29151,29149,29150,337.0,4402064,322.0,586,330.0,1174
29501,29499,29500,337.0,4459941,318.0,587,310.0,512
30330,30328,30329,337.0,4576473,318.0,587,326.0,1172
30868,30866,30867,310.0,4645179,318.0,582,318.0,1164
30904,30902,30903,310.0,4666743,322.0,582,293.0,19352
31245,31243,31244,290.0,4725542,290.0,9797,290.0,19600
31960,31958,31959,393.0,4730472,399.0,33,382.0,17268
32610,32608,32609,481.0,5103806,481.0,9991,467.0,5176
32629,32627,32628,430.0,4831724,430.0,2503,389.0,1236
32973,32971,32972,393.0,4867029,387.0,2563,389.0,5126
33309,33307,33308,430.0,4935293,396.0,270,391.0,3404
33344,33342,33343,359.0,5037177,318.0,590,348.0,1180
33497,33495,33496,359.0,5053435,318.0,591,352.0,1178
33626,33624,33625,489.0,5254922,487.0,10157,484.0,14488
