region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
145,143,144,124.0,11259706,122.0,82440,122.0,160778
176,174,175,124.0,13862858,122.0,80428,122.0,164740
232,230,231,124.0,18348144,122.0,82453,122.0,160704
236,234,235,124.0,18754162,122.0,82383,122.0,160884
249,247,248,124.0,19741839,102.0,4,124.0,162196
276,274,275,124.0,22018047,122.0,82426,122.0,160744
336,334,335,98.0,993983,124.0,24246,122.0,164900
456,454,455,124.0,36220502,122.0,80371,122.0,164918
679,677,678,124.0,53688135,122.0,80413,122.0,164860
682,680,681,124.0,54013788,122.0,82457,122.0,160698
725,723,724,124.0,57441734,122.0,80411,122.0,164868
867,865,866,124.0,68622255,122.0,80410,122.0,164846
975,973,974,124.0,77186898,122.0,82426,122.0,160792
1004,1002,1003,124.0,79627271,122.0,80343,122.0,164890
1240,1238,1239,124.0,98152253,122.0,80360,122.0,164898
1282,1280,1281,124.0,101499834,122.0,80413,122.0,164838
1500,1498,1499,124.0,118561419,122.0,80376,122.0,164912
1501,1499,1500,124.0,118641795,122.0,164912,122.0,160696
1589,1587,1588,124.0,125662566,122.0,80449,122.0,160788
1621,1619,1620,124.0,128344138,122.0,82473,122.0,160790
1624,1622,1623,124.0,128669781,122.0,80425,122.0,160752
1625,1623,1624,124.0,128750206,122.0,160752,122.0,164924
1678,1676,1677,98.0,5131010,96.0,82449,124.0,87414
1734,1732,1733,124.0,137371275,122.0,80396,122.0,164868
1823,1821,1822,96.0,5710897,124.0,54636,122.0,164808
1951,1949,1950,124.0,154582925,122.0,82458,122.0,160716
1987,1985,1986,124.0,157442031,122.0,80362,122.0,164882
1993,1991,1992,124.0,158012906,124.0,80421,122.0,160828
2036,2034,2035,124.0,161438880,122.0,82475,122.0,160764
2169,2167,2168,124.0,171885687,122.0,82380,122.0,160884
2319,2317,2318,124.0,183715539,122.0,80360,122.0,164888
2329,2327,2328,124.0,184610059,124.0,82430,122.0,160760
2341,2339,2340,124.0,185667404,122.0,80376,123.0,164930
2349,2347,2348,102.0,4960,98.0,81972,124.0,24542
2382,2380,2381,124.0,188946863,122.0,80434,122.0,164798
2395,2393,2394,124.0,190086613,122.0,80431,98.0,6344
2482,2480,2481,124.0,196937416,122.0,82442,122.0,160722
2483,2481,2482,124.0,197019858,122.0,160722,122.0,164926
2538,2536,2537,124.0,201505171,126.0,1,122.0,164928
2606,2604,2605,124.0,206817358,122.0,82435,122.0,160854
2684,2682,2683,124.0,213091832,98.0,25022,96.0,164890
2712,2710,2711,124.0,215219226,122.0,80374,122.0,164822
2765,2763,2764,124.0,219461331,122.0,80401,122.0,164838
3054,3052,3053,124.0,242145961,122.0,82454,122.0,160718
3084,3082,3083,124.0,244516572,122.0,80389,122.0,164882
3215,3213,3214,124.0,254802566,122.0,80414,122.0,164872
3257,3255,3256,124.0,258300272,122.0,82474,122.0,160746
3279,3277,3278,124.0,260019585,122.0,82467,122.0,160698
3299,3297,3298,124.0,261726187,122.0,82431,122.0,160778
3385,3383,3384,124.0,268501761,122.0,80369,122.0,164918
3507,3505,3506,124.0,278056082,122.0,80384,122.0,164784
3550,3548,3549,124.0,281484016,122.0,82447,122.0,160738
