region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,29.0,0,29.0,0,86.0,181238
5,3,4,311.0,75,309.0,69,309.0,138
7,5,6,311.0,282,309.0,70,309.0,138
10,8,9,311.0,560,309.0,68,229.0,226
39,37,38,297.0,4535,229.0,158,229.0,320
161,159,160,111.0,88220,106.0,76952,106.0,153908
180,178,179,206.0,11010,229.0,168,229.0,336
187,185,186,204.0,12358,224.0,168,229.0,336
204,202,203,204.0,15391,240.0,168,229.0,336
205,203,204,204.0,15559,229.0,336,224.0,336
295,293,294,295.0,13969,293.0,158,229.0,318
310,308,309,295.0,16524,224.0,159,111.0,25792
331,329,330,206.0,19711,224.0,168,224.0,336
368,366,367,270.0,17080,224.0,169,268.0,336
436,434,435,295.0,20705,224.0,160,224.0,318
527,525,526,272.0,26623,224.0,168,240.0,336
559,557,558,270.0,32183,224.0,168,224.0,338
578,576,577,297.0,27465,229.0,158,224.0,318
614,612,613,295.0,33369,224.0,159,111.0,32306
619,617,618,111.0,1139446,240.0,132,224.0,338
647,645,646,206.0,38461,229.0,169,224.0,336
672,670,671,272.0,33977,229.0,168,240.0,336
724,722,723,293.0,34990,224.0,159,229.0,318
766,764,765,293.0,41851,240.0,159,111.0,35564
846,844,845,272.0,46047,224.0,169,224.0,334
858,856,857,272.0,48236,224.0,169,229.0,336
1074,1072,1073,111.0,1871595,106.0,76953,229.0,288
1076,1074,1075,206.0,58810,224.0,168,224.0,336
1123,1121,1122,206.0,66899,270.0,40,224.0,336
1153,1151,1152,272.0,63447,229.0,168,224.0,338
1210,1208,1209,293.0,64645,229.0,159,224.0,320
1273,1271,1272,206.0,74756,224.0,168,240.0,336
1314,1312,1313,272.0,73330,224.0,168,224.0,336
1353,1351,1352,293.0,71563,224.0,160,229.0,318
1414,1412,1413,206.0,81268,224.0,168,224.0,338
1440,1438,1439,272.0,77314,229.0,168,224.0,338
1485,1483,1484,295.0,76729,229.0,159,240.0,320
1495,1493,1494,293.0,78483,229.0,159,224.0,318
1526,1524,1525,293.0,83588,224.0,160,111.0,51852
1539,1537,1538,206.0,85085,240.0,168,229.0,336
1566,1564,1565,204.0,89804,224.0,168,224.0,336
1646,1644,1645,293.0,86781,224.0,160,229.0,318
1675,1673,1674,293.0,91569,224.0,159,229.0,318
1706,1704,1705,206.0,96145,224.0,168,224.0,336
1786,1784,1785,293.0,93380,224.0,159,229.0,318
1941,1939,1940,293.0,102214,224.0,159,229.0,318
2014,2012,2013,206.0,113379,229.0,168,224.0,336
2062,2060,2061,272.0,112623,224.0,169,224.0,336
2389,2387,2388,293.0,125682,229.0,160,224.0,318
2412,2410,2411,293.0,129514,224.0,159,229.0,316
2454,2452,2453,206.0,135437,224.0,168,229.0,336
2557,2555,2556,293.0,136750,229.0,159,224.0,318
2590,2588,2589,293.0,142175,224.0,159,111.0,74654
2729,2727,2728,293.0,148377,224.0,160,224.0,320
2741,2739,2740,293.0,150453,224.0,159,224.0,318
2745,2743,2744,111.0,4769640,106.0,76953,229.0,32
2760,2758,2759,206.0,152351,224.0,168,224.0,336
2849,2847,2848,293.0,151785,224.0,160,229.0,320
2851,2849,2850,293.0,152266,224.0,157,293.0,316
2999,2997,2998,293.0,159980,224.0,160,224.0,316
3002,3000,3001,293.0,160617,224.0,160,224.0,320
3062,3060,3061,206.0,168572,224.0,168,224.0,336
