region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
27,25,26,381.0,17728,381.0,718,381.0,1436
465,463,464,381.0,123300,377.0,15,381.0,1434
537,535,536,484.0,112720,484.0,6060,477.0,2
544,542,543,466.0,126922,389.0,15212,381.0,670
1052,1050,1051,346.0,242964,343.0,9503,553.0,9202
1515,1513,1514,484.0,344522,490.0,40,466.0,1912
1523,1521,1522,386.0,387716,381.0,470,381.0,1436
1541,1539,1540,381.0,373563,381.0,718,410.0,1434
1959,1957,1958,381.0,464777,410.0,717,381.0,1436
2027,2025,2026,365.0,485308,400.0,732,346.0,9776
2788,2786,2787,365.0,665219,397.0,733,346.0,18946
3190,3188,3189,365.0,743725,365.0,733,400.0,1468
3221,3219,3220,400.0,767196,365.0,733,361.0,28
4103,4101,4102,537.0,955234,527.0,2024,534.0,4046
4304,4302,4303,365.0,1021397,365.0,732,365.0,1466
4492,4490,4491,381.0,1078817,365.0,418,400.0,1466
4627,4625,4626,365.0,1097510,365.0,732,400.0,1466
4666,4664,4665,484.0,1074961,484.0,6074,466.0,4692
4791,4789,4790,381.0,1136280,381.0,717,410.0,1434
5342,5340,5341,381.0,1270578,377.0,15,381.0,1436
5398,5396,5397,346.0,1286600,343.0,9502,553.0,11886
5531,5529,5530,519.0,1300883,515.0,3011,484.0,5270
5794,5792,5793,381.0,1386202,381.0,718,377.0,26
5944,5942,5943,553.0,1439339,550.0,7325,547.0,2
6194,6192,6193,386.0,1473812,386.0,19669,381.0,1302
6542,6540,6541,381.0,1557785,377.0,15,381.0,1434
6647,6645,6646,381.0,1581484,381.0,718,410.0,1434
7161,7159,7160,512.0,1687562,517.0,3011,484.0,9200
7222,7220,7221,400.0,1703487,400.0,733,365.0,1462
7292,7290,7291,381.0,1730870,381.0,718,381.0,1436
7348,7346,7347,365.0,1742546,400.0,732,356.0,30
7584,7582,7583,537.0,1785269,532.0,2023,527.0,4048
8030,8028,8029,510.0,1892587,512.0,3011,484.0,7194
8131,8129,8130,537.0,1922932,519.0,1345,510.0,6024
8456,8454,8455,537.0,1997830,527.0,2023,519.0,3050
8874,8872,8873,346.0,2101394,343.0,9501,553.0,2332
9273,9271,9272,361.0,40903,361.0,13,365.0,1466
9560,9558,9559,466.0,2247364,448.0,4891,389.0,8158
9660,9658,9659,510.0,2283317,510.0,3010,484.0,11074
10068,10066,10067,356.0,44755,346.0,7166,343.0,19006
10073,10071,10072,553.0,2448546,550.0,7325,537.0,1928
10104,10102,10103,466.0,2383012,444.0,2,389.0,38482
10248,10246,10247,381.0,2438990,381.0,718,410.0,1434
10750,10748,10749,484.0,2491366,484.0,6058,466.0,3278
12031,12029,12030,537.0,2823749,534.0,2023,527.0,4046
12096,12094,12095,381.0,2875648,381.0,717,365.0,570
12361,12359,12360,537.0,2910793,532.0,2023,535.0,4046
12583,12581,12582,537.0,2973544,527.0,2023,534.0,4046
12628,12626,12627,381.0,2996020,410.0,718,381.0,1434
12793,12791,12792,537.0,3012012,529.0,2023,527.0,4048
13417,13415,13416,365.0,3166781,400.0,732,361.0,26
13693,13691,13692,381.0,3237331,377.0,15,381.0,1434
14809,14807,14808,381.0,3515261,381.0,715,410.0,1434
14847,14845,14846,365.0,3513227,365.0,733,346.0,6520
14983,14981,14982,510.0,3536052,510.0,3011,484.0,3294
15735,15733,15734,537.0,3722574,534.0,2023,519.0,1520
15745,15743,15744,510.0,3722672,484.0,4564,490.0,80
16562,16560,16561,365.0,3906203,361.0,14,365.0,1466
16731,16729,16730,466.0,3944483,454.0,4891,389.0,23394
16897,16895,16896,356.0,74821,400.0,734,365.0,1464
17036,17034,17035,537.0,4025735,529.0,2023,527.0,4048
17131,17129,17130,346.0,4067146,343.0,9503,553.0,1404
17709,17707,17708,466.0,4177805,448.0,4891,389.0,30934
17872,17870,17871,365.0,4219456,365.0,733,400.0,1464
18080,18078,18079,365.0,4264578,400.0,732,356.0,30
18504,18502,18503,381.0,4387136,381.0,717,410.0,1436
18522,18520,18521,365.0,4373149,400.0,732,365.0,1466
19084,19082,19083,365.0,4515651,365.0,732,346.0,3218
19309,19307,19308,553.0,4692041,537.0,1211,534.0,4046
19443,19441,19442,490.0,28894,466.0,3361,448.0,9786
19701,19699,19700,381.0,4670818,381.0,717,365.0,288
19956,19954,19955,346.0,4744943,343.0,9501,553.0,4480
20963,20961,20962,484.0,4851228,484.0,6059,466.0,6324
21011,21009,21010,397.0,4956210,365.0,733,365.0,1468
21187,21185,21186,389.0,5056977,386.0,19668,381.0,1168
21263,21261,21262,553.0,5154779,550.0,7325,550.0,14648
21666,21664,21665,361.0,95865,400.0,733,365.0,1466
21947,21945,21946,466.0,5189326,389.0,11963,381.0,432
22097,22095,22096,397.0,5213347,365.0,732,356.0,26
22455,22453,22454,343.0,5341836,343.0,9501,553.0,6788
22567,22565,22566,553.0,5482326,550.0,7325,537.0,948
23703,23701,23702,381.0,5606555,410.0,716,381.0,1438
24094,24092,24093,539.0,5686237,535.0,2023,534.0,4046
24336,24334,24335,466.0,5746638,452.0,4890,389.0,15906
24482,24480,24481,373.0,108741,410.0,717,365.0,1156
24663,24661,24662,466.0,5831540,389.0,9139,381.0,228
25175,25173,25174,553.0,6121433,550.0,7325,537.0,2964
25309,25307,25308,484.0,5852833,484.0,6060,466.0,8048
25314,25312,25313,466.0,5984883,454.0,4890,389.0,23184
25367,25365,25366,365.0,5990454,400.0,731,356.0,30
25424,25422,25423,444.0,955,389.0,18562,381.0,914
25459,25457,25458,381.0,6030274,410.0,716,407.0,1432
26032,26030,26031,361.0,115397,400.0,733,361.0,30
26038,26036,26037,365.0,6159549,397.0,734,346.0,16126
26282,26280,26281,510.0,6200983,512.0,3010,484.0,1564
26872,26870,26871,381.0,6364230,381.0,717,365.0,860
26907,26905,26906,365.0,6364770,397.0,732,346.0,12992
26926,26924,26925,539.0,6369939,535.0,2023,517.0,4564
27052,27050,27051,462.0,6394898,452.0,4889,389.0,10348
27127,27125,27126,346.0,6464533,343.0,9501,426.0,50534
