region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,27.0,0,27.0,0,369.0,23098
14,-1,13,27.0,0,381.0,135269,379.0,51901
16,-1,15,27.0,0,381.0,239071,351.0,8072
23,-1,22,27.0,0,370.0,29291,357.0,29996
60,-1,59,27.0,0,369.0,691966,357.0,23100
68,-1,67,27.0,0,351.0,143556,347.0,19331
69,-1,68,27.0,0,351.0,162887,113.0,69779
75,-1,74,27.0,0,223.0,128118,237.0,20661
88,-1,87,27.0,0,369.0,1033191,318.0,6478
128,-1,127,27.0,0,369.0,1379832,357.0,23099
131,-1,130,27.0,0,369.0,1449132,364.0,23099
143,-1,142,27.0,0,318.0,934573,310.0,22454
150,-1,149,27.0,0,369.0,1616249,357.0,23099
172,-1,171,27.0,0,219.0,337587,369.0,6966
192,-1,191,27.0,0,318.0,1313501,306.0,22455
193,-1,192,27.0,0,318.0,1335956,306.0,22454
215,-1,214,27.0,0,370.0,415955,318.0,12956
217,-1,216,27.0,0,318.0,1477409,237.0,16692
222,-1,221,27.0,0,369.0,2396516,357.0,23100
263,-1,262,27.0,0,370.0,512621,318.0,26747
278,-1,277,27.0,0,369.0,3112758,357.0,23098
292,-1,291,27.0,0,369.0,3164374,361.0,23100
337,-1,336,27.0,0,318.0,2405377,306.0,22453
354,-1,353,27.0,0,351.0,665775,347.0,17289
375,-1,374,27.0,0,318.0,2537309,310.0,22454
395,-1,394,27.0,0,369.0,4388959,357.0,23100
421,-1,420,27.0,0,369.0,4683984,357.0,23098
428,-1,427,27.0,0,318.0,3006054,310.0,22454
469,-1,468,27.0,0,369.0,5215426,357.0,23098
476,-1,475,27.0,0,318.0,3362528,310.0,22454
489,-1,488,27.0,0,369.0,5405642,361.0,23099
498,-1,497,27.0,0,351.0,943152,318.0,9843
503,-1,502,27.0,0,318.0,3568213,244.0,13761
515,-1,514,27.0,0,369.0,5700667,361.0,23099
540,-1,539,27.0,0,369.0,6006385,144.0,1
547,-1,546,27.0,0,219.0,976044,371.0,19648
548,-1,547,27.0,0,370.0,1002626,357.0,29995
553,-1,552,27.0,0,223.0,1030824,211.0,20662
561,-1,560,27.0,0,369.0,6185908,361.0,23099
597,-1,596,27.0,0,370.0,1129288,318.0,34223
600,-1,599,27.0,0,223.0,1104564,223.0,20662
612,-1,611,27.0,0,369.0,6786651,357.0,23099
621,-1,620,27.0,0,318.0,4454404,306.0,22454
642,-1,641,27.0,0,370.0,1156665,371.0,9294
644,-1,643,27.0,0,370.0,1195957,318.0,3482
663,-1,662,27.0,0,318.0,4676152,310.0,22454
666,-1,665,27.0,0,318.0,4743515,310.0,22454
713,-1,712,27.0,0,318.0,5077535,306.0,22454
727,-1,726,27.0,0,369.0,8016652,361.0,23099
729,-1,728,27.0,0,369.0,8062853,357.0,23100
731,-1,730,27.0,0,367.0,8109054,351.0,2918
734,-1,733,27.0,0,351.0,1342687,347.0,14534
736,-1,735,27.0,0,351.0,1371755,156.0,4
748,-1,747,27.0,0,369.0,8196177,361.0,23100
779,-1,778,27.0,0,369.0,8640495,351.0,7420
783,-1,782,27.0,0,351.0,1449102,323.0,1
784,-1,783,27.0,0,180.0,129,365.0,16554
787,-1,786,27.0,0,370.0,1455958,144.0,1
798,-1,797,27.0,0,369.0,8773820,357.0,23099
807,-1,806,27.0,0,314.0,5745576,306.0,22453
823,-1,822,27.0,0,369.0,9079536,357.0,23100
827,-1,826,27.0,0,369.0,9171938,351.0,11920
840,-1,839,27.0,0,219.0,1576581,369.0,14721
859,-1,858,27.0,0,318.0,6191865,310.0,22453
899,-1,898,27.0,0,367.0,9952205,318.0,12424
906,-1,905,27.0,0,318.0,6525885,310.0,22454
932,-1,931,27.0,0,318.0,6704418,237.0,9366
958,-1,957,27.0,0,318.0,6972177,369.0,3302
966,-1,965,27.0,0,369.0,10650763,357.0,23099
970,-1,969,27.0,0,369.0,10743163,381.0,38892
