region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
858,856,857,332.0,278286,329.0,2472,350.0,12996
1109,1107,1108,565.0,366426,563.0,2594,565.0,5188
1330,1328,1329,304.0,435126,350.0,6209,348.0,19678
1541,1539,1540,432.0,508386,429.0,2471,456.0,20232
1949,1947,1948,319.0,617574,304.0,2472,306.0,4944
2292,2290,2291,565.0,767102,562.0,2594,534.0,18
2394,2392,2393,463.0,776852,461.0,10078,424.0,1672
2470,2468,2469,500.0,5120,484.0,13331,463.0,7532
3092,3090,3091,494.0,982446,490.0,2562,488.0,5128
3402,3400,3401,537.0,1098912,510.0,131,492.0,5070
4231,4229,4230,319.0,1375698,306.0,2471,304.0,4942
4239,4237,4238,298.0,1370019,295.0,9799,586.0,12040
5169,5167,5168,306.0,1675335,304.0,2472,319.0,4942
5388,5386,5387,424.0,1765409,409.0,2471,456.0,30046
5598,5596,5597,537.0,1792441,537.0,2502,537.0,5008
5728,5726,5727,350.0,1872901,348.0,9838,298.0,14824
5808,5806,5807,298.0,1881258,295.0,9799,295.0,19600
5855,5853,5854,424.0,1909539,429.0,2472,424.0,4944
6147,6145,6146,534.0,12615,528.0,15,534.0,32
6231,6229,6230,494.0,1982881,488.0,2562,490.0,5124
6621,6619,6620,494.0,2104437,492.0,1899,488.0,5126
7598,7596,7597,386.0,2480594,371.0,2471,404.0,35832
8922,8920,8921,456.0,2919452,454.0,18783,376.0,3548
10036,10034,10035,319.0,3264259,306.0,2473,304.0,4942
10262,10260,10261,386.0,3340127,380.0,2471,364.0,4942
10287,10285,10286,586.0,3459197,584.0,8172,581.0,13000
10388,10386,10387,534.0,21298,537.0,2507,510.0,320
10479,10477,10478,481.0,3440139,463.0,8834,461.0,20150
11068,11066,11067,298.0,3607959,295.0,9799,295.0,19602
11232,11230,11231,581.0,3775300,578.0,9992,565.0,5006
11564,11562,11563,534.0,23680,528.0,16,537.0,5004
11692,11690,11691,304.0,3822626,304.0,2473,350.0,19440
11889,11887,11888,494.0,3801042,505.0,30,494.0,3156
12053,12051,12052,424.0,3924805,409.0,2472,429.0,4944
12089,12087,12088,298.0,3954838,295.0,9801,586.0,4074
12419,12417,12418,565.0,4072568,563.0,2594,537.0,2636
12587,12585,12586,534.0,25822,510.0,86,492.0,4984
12779,12777,12778,386.0,4173777,364.0,2472,404.0,23658
13086,13084,13085,355.0,4259747,380.0,2471,376.0,4942
13422,13420,13421,350.0,4398958,298.0,2732,295.0,19600
13815,13813,13814,350.0,4531639,298.0,7392,295.0,19602
13958,13956,13957,404.0,4561929,402.0,18925,329.0,3456
14945,14943,14944,494.0,4763968,488.0,2563,490.0,5124
15468,15466,15467,586.0,5193569,584.0,8175,581.0,6572
15620,15618,15619,350.0,5114417,298.0,1395,295.0,19600
15894,15892,15893,500.0,32482,494.0,1331,463.0,814
15961,15959,15960,537.0,5097690,537.0,2502,475.0,2
16014,16012,16013,295.0,5269208,295.0,9801,161.0,2
16040,16038,16039,537.0,5126378,537.0,2502,515.0,190
17078,17076,17077,424.0,5567380,409.0,2472,411.0,4944
17952,17950,17951,376.0,5846202,355.0,2470,364.0,4944
17960,17958,17959,376.0,5868454,355.0,2471,404.0,11488
18262,18260,18261,424.0,5969744,429.0,2472,173.0,2
19012,19010,19011,565.0,6220543,563.0,2594,562.0,5188
19014,19012,19013,562.0,6228327,533.0,292,537.0,5008
19139,19137,19138,376.0,6257703,404.0,13823,332.0,1866
19583,19581,19582,494.0,6256010,500.0,123,484.0,24538
19939,19937,19938,295.0,6556560,295.0,9800,295.0,19600
20055,20053,20054,500.0,41106,484.0,11702,463.0,5688
20649,20647,20648,586.0,6928577,584.0,8173,467.0,8
20678,20676,20677,494.0,6595926,488.0,2563,488.0,5124
20964,20962,20963,586.0,7049680,584.0,8173,581.0,19742
21123,21121,21122,581.0,7089481,578.0,9992,565.0,1820
21135,21133,21134,534.0,43163,534.0,16,537.0,5006
21157,21155,21156,463.0,6922394,461.0,10077,435.0,3328
21272,21270,21271,350.0,6954165,348.0,9838,298.0,15514
21436,21434,21435,584.0,7215179,581.0,9578,578.0,19988
21547,21545,21546,494.0,6886200,481.0,15773,463.0,13896
21590,21588,21589,584.0,7243068,584.0,8173,584.0,16348
21592,21590,21591,584.0,7267589,584.0,8172,581.0,18962
21795,21793,21794,435.0,7126575,409.0,2472,456.0,10572
22026,22024,22025,424.0,7193986,432.0,2471,409.0,4944
22715,22713,22714,515.0,46638,492.0,2393,490.0,5126
22827,22825,22826,376.0,7456629,380.0,2471,178.0,2
22878,22876,22877,494.0,7304709,488.0,2563,488.0,5126
23645,23643,23644,565.0,7737595,562.0,2594,537.0,1646
24028,24026,24027,581.0,8089656,578.0,9992,565.0,3482
24336,24334,24335,295.0,8014847,295.0,9801,586.0,7998
24766,24764,24765,494.0,7915079,481.0,18733,463.0,19948
25263,25261,25262,404.0,8277217,402.0,18925,329.0,4932
25274,25272,25273,332.0,8258210,350.0,6347,348.0,19676
25825,25823,25824,350.0,8448075,348.0,9839,298.0,9974
26671,26669,26670,376.0,8706723,383.0,2471,357.0,4944
27023,27021,27022,537.0,8609063,537.0,2503,537.0,5004
28155,28153,28154,424.0,9207155,456.0,7265,386.0,112
28210,28208,28209,494.0,8988756,492.0,2133,490.0,5124
28296,28294,28295,494.0,9035058,488.0,2563,500.0,196
28427,28425,28426,565.0,9285041,562.0,2594,562.0,5190
29055,29053,29054,565.0,9492335,562.0,2594,563.0,5188
29333,29331,29332,424.0,9592210,456.0,15284,380.0,2228
29750,29748,29749,348.0,9730509,348.0,9839,298.0,5200
29757,29755,29756,584.0,10005416,581.0,4417,578.0,19986
29860,29858,29859,494.0,9520944,488.0,2562,488.0,5126
30140,30138,30139,332.0,9842189,306.0,2472,350.0,6748
30239,30237,30238,565.0,9895605,563.0,2594,472.0,2
