type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38
bbv,0,0,1,1,26,26,26,3407872,26,26,25,25,1686316,1686315,1324814,100,100,74,57,,,,,,,,,,,,,,,,,,,,,
csv,0,0,36,40,96780900,96780901,96781009,98222801,98222804,98222805,96780887,96780890,99999982,99999968,100000005,96780997,96781007,96780989,96781003,,,,,,,,,,,,,,,,,,,,,
bb_id,0,0,23,24,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,
bbv,1,0,26,26,26,3407872,26,26,26,26,1686888,1686888,1324295,150,150,124,83,,,,,,,,,,,,,,,,,,,,,,,
csv,1,0,97415686,97415687,97415820,98857612,98857615,98857616,97415673,97415676,100000013,99999999,99999994,97415808,97415818,97415800,97415814,,,,,,,,,,,,,,,,,,,,,,,
bb_id,1,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,2,0,26,26,26,3407872,26,26,26,26,1686931,1686931,1324241,170,170,144,91,,,,,,,,,,,,,,,,,,,,,,,
csv,2,0,98042388,98042389,98042541,99484333,99484336,99484337,98042375,98042378,99999993,99999979,100000016,98042529,98042539,98042521,98042535,,,,,,,,,,,,,,,,,,,,,,,
bb_id,2,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,3,0,26,26,26,3396151,25,25,26,26,1690073,1690074,1327238,182,182,156,101,,,,,,,,,,,,,,,,,,,,,,,
csv,3,0,98686983,98686984,98687142,100000003,96258363,96258364,98686970,98686973,98686939,98686967,98686962,98687130,98687140,98687122,98687136,,,,,,,,,,,,,,,,,,,,,,,
bb_id,3,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,4,0,26,26,26,3348986,26,26,26,26,1703936,1703936,1338337,184,184,158,119,,,,,,,,,,,,,,,,,,,,,,,
csv,4,0,99334732,99334733,99334892,100000007,96908619,96908620,99334719,99334722,99334688,99334716,99334711,99334880,99334890,99334872,99334886,,,,,,,,,,,,,,,,,,,,,,,
bb_id,4,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,5,0,26,26,26,3349805,26,26,26,26,1703936,1703936,1337933,208,208,182,89,,,,,,,,,,,,,,,,,,,,,,,
csv,5,0,99973444,99973445,99973622,100000000,97545905,97545906,99973431,99973434,99973400,99973428,99973423,99973610,99973620,99973602,99973616,,,,,,,,,,,,,,,,,,,,,,,
bb_id,5,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,6,0,25,25,25,3405474,26,26,25,25,1686655,1686654,1325588,200,200,175,104,,,,,,,,,,,,,,,,,,,,,,,
csv,6,0,96768463,96768464,96768635,98210427,98210430,98210431,96768450,96768453,99999983,99999969,100000006,96768623,96768633,96768615,96768629,,,,,,,,,,,,,,,,,,,,,,,
bb_id,6,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,7,0,26,26,26,3407872,26,26,26,26,1686601,1686601,1324475,208,208,182,118,,,,,,,,,,,,,,,,,,,,,,,
csv,7,0,97410812,97410813,97410990,98852782,98852785,98852786,97410799,97410802,99999989,99999975,100000012,97410978,97410988,97410970,97410984,,,,,,,,,,,,,,,,,,,,,,,
bb_id,7,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,8,0,26,26,26,3407872,26,26,26,26,1686441,1686441,1324605,208,208,182,126,,,,,,,,,,,,,,,,,,,,,,,
csv,8,0,98060345,98060346,98060517,99502309,99502312,99502313,98060332,98060335,99999987,99999973,100000010,98060505,98060515,98060497,98060511,,,,,,,,,,,,,,,,,,,,,,,
bb_id,8,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,9,0,26,26,26,3393738,25,25,26,26,1690511,1690512,1327996,211,211,185,141,,,,,,,,,,,,,,,,,,,,,,,
csv,9,0,98713510,98713511,98713689,100000007,96285396,96285397,98713497,98713500,98713489,98713494,98713470,98713677,98713687,98713669,98713683,,,,,,,,,,,,,,,,,,,,,,,
bb_id,9,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
