type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125
bbv,0,0,1,1,1,1,1,1,1,1,1,1,1,30,30,30,29,29,29,29,469,1,1,961,961,59582,961,1,1,1,1,1,470,470,29140,470,470,470,29118,29117,145585,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,0,0,3,6,15,18,22,55,303,322,30252856,30329572,30329576,394988990,394989150,394989383,394988113,394988389,394988628,394988631,399493394,30254002,30254385,30221167,30221305,30252087,30252471,91,159,30259735,30260248,30260376,399494053,399494633,399772272,399772350,399775274,399775294,400002617,399999711,399999278,399492930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_id,0,0,162,163,164,165,166,326,327,328,329,330,331,370,374,375,376,377,379,380,381,382,384,386,387,388,389,390,391,394,395,396,407,408,409,410,411,412,413,414,415,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbv,0,1,1,1,1,1,1,1,28,28,9270,28,28,28,27,27,27,27,446,961,961,59582,961,1,1,1,447,447,27672,446,446,446,27652,27652,138260,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,0,1,157,238,254,30275909,30329636,30329644,387548840,387551776,225457989,387551932,387552217,387552287,387545553,387545639,387548405,387548749,399931797,30246361,30246753,30275013,30275524,30281529,30281661,30282043,399931881,399932114,400002549,399476878,399477311,399477331,399929800,399931435,399930854,399931783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_id,0,1,326,327,328,329,330,331,370,371,372,373,374,375,376,377,379,380,381,386,387,388,389,394,395,396,407,408,409,410,411,412,413,414,415,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbv,0,2,1,1,1,1,1,1,27,27,40248,27,27,27,26,26,26,26,404,961,961,59582,961,1,1,1,405,405,25110,405,405,405,25060,25060,125300,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,0,2,88,182,190,30329530,30329562,30329574,386950381,386950393,387548678,387548751,387548855,387548934,386944836,386944845,386950366,386950369,399659557,30321638,30321649,30329523,30329526,30329546,30329551,30329552,399662408,399662410,399929295,399929646,399929732,399929823,399996129,400002890,399999788,399659386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_id,0,2,326,327,328,329,330,331,370,371,372,373,374,375,376,377,379,380,381,386,387,388,389,394,395,396,407,408,409,410,411,412,413,414,415,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbv,0,3,1,1,1,1,1,1,27,27,49172,26,26,26,26,26,390,961,961,59582,961,1,1,1,390,390,24180,390,390,390,24180,24180,120900,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,0,3,124,215,246,30285606,30329626,30329646,399652291,399655326,400002620,386950386,386950408,386953168,399649056,399651894,399648826,30262921,30263191,30285345,30285348,30286384,30286643,30286771,398755548,398756042,399222768,399222769,399225874,399228960,399637870,399645641,399644716,399645710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_id,0,3,326,327,328,329,330,331,370,371,372,373,374,375,376,380,381,386,387,388,389,394,395,396,407,408,409,410,411,412,413,414,415,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbv,1,0,30,30,30,30,30,216,30,30,483,483,483,29927,482,482,482,29906,29907,149535,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,1,0,392380701,392383782,392383861,392376782,392379700,364492400,392380396,392380535,399540018,399543097,399543330,400008068,399344287,399344720,399344962,399535147,399539446,399538829,399539785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_id,1,0,370,374,375,376,377,378,379,380,381,407,408,409,410,411,412,413,414,415,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbv,1,1,30,30,30,30,30,30,30,30,30,477,477,477,29592,477,477,477,29574,29574,147870,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,1,1,390497795,390497802,390497881,390500939,390501101,390494627,390494704,390494786,390497547,399552983,399555754,399555756,400005310,399333340,399336185,399336214,399546503,399552969,399549928,399552972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_id,1,1,370,371,373,374,375,376,377,379,380,381,407,408,409,410,411,412,413,414,415,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbv,1,2,30,30,21565,30,30,30,30,30,30,30,446,446,446,27646,445,445,445,27640,27640,138200,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
